subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,Semiconductor Electronics,Conductor Energy Band,Easy,45,"In a conductor, the valence band and conduction band:",Are separated by a large forbidden gap (~5 eV),Are separated by a small forbidden gap (~1 eV),Overlap each other allowing free electrons at room temperature,Have no electrons in either band,C
Physics,Semiconductor Electronics,Insulator Energy Band,Easy,45,"In an insulator, the energy gap between the valence band and the conduction band is:",Zero (bands overlap),Very small (~0.1 eV),Very large (typically > 5 eV) making electron excitation practically impossible,Exactly 1 eV,C
Physics,Semiconductor Electronics,Semiconductor Energy Band,Easy,45,"In a semiconductor at room temperature, the energy gap between the valence band and conduction band is approximately:",0 eV (bands overlap),About 1 eV (small but nonzero),About 5 eV (same as an insulator),About 10 eV,B
Physics,Semiconductor Electronics,Intrinsic Semiconductor Definition,Easy,50,"An intrinsic semiconductor is:",A semiconductor doped with impurities,A pure semiconductor (undoped) in which electron-hole pairs are created by thermal excitation,A semiconductor with only n-type dopants,A conductor at all temperatures,B
Physics,Semiconductor Electronics,Extrinsic Semiconductor Definition,Easy,50,"An extrinsic (doped) semiconductor is:",A pure semiconductor with no impurities,A semiconductor whose electrical properties are altered by adding small amounts of impurity atoms (dopants),A semiconductor used only in lasers,An insulator at room temperature,B
Physics,Semiconductor Electronics,n-type Semiconductor Dopant,Easy,50,"An n-type semiconductor is created by doping a pure semiconductor (like silicon) with:","A trivalent impurity (e.g. boron or aluminium) which creates holes","A pentavalent impurity (e.g. phosphorus or arsenic) which donates extra electrons",Any metallic impurity,A radioactive impurity,B
Physics,Semiconductor Electronics,p-type Semiconductor Dopant,Easy,50,"A p-type semiconductor is created by doping a pure semiconductor with:","A trivalent impurity (e.g. boron or aluminium) which creates holes (acceptors)","A pentavalent impurity (e.g. phosphorus or arsenic) which donates electrons",A divalent impurity,A hexavalent impurity,A
Physics,Semiconductor Electronics,Majority Carriers in n-type,Easy,45,"In an n-type semiconductor, the majority charge carriers are:",Holes,Protons,Electrons,Positrons,C
Physics,Semiconductor Electronics,Majority Carriers in p-type,Easy,45,"In a p-type semiconductor, the majority charge carriers are:",Electrons,Protons,Neutrons,Holes,D
Physics,Semiconductor Electronics,Minority Carriers in n-type,Easy,45,"In an n-type semiconductor, the minority charge carriers are:",Electrons,Holes,Protons,Neutrons,B
Physics,Semiconductor Electronics,p-n Junction Formation,Easy,50,"A p-n junction is formed when:",Two metals are joined together,A p-type semiconductor is joined to an n-type semiconductor,"Silicon is doped with both boron and phosphorus, uniformly mixed",An insulator is placed between two conductors,B
Physics,Semiconductor Electronics,Depletion Region Definition,Easy,50,"The depletion region at a p-n junction is a region that is:",Rich in mobile charge carriers (electrons and holes),Depleted of mobile charge carriers due to recombination of electrons and holes near the junction,Filled with positive ions only,Filled with free electrons only,B
Physics,Semiconductor Electronics,Forward Bias Effect on Depletion Width,Easy,50,"When a p-n junction diode is forward biased (positive terminal of battery to p-side), the depletion region:",Increases in width,Decreases in width allowing significant current to flow,Remains unchanged,Disappears permanently,B
Physics,Semiconductor Electronics,Reverse Bias Effect on Depletion Width,Easy,50,"When a p-n junction diode is reverse biased (positive terminal of battery to n-side), the depletion region:",Decreases in width,Increases in width and very little current flows,Disappears,Allows large forward current,B
Physics,Semiconductor Electronics,Diode Direction of Easy Current Flow,Easy,45,"A p-n junction diode allows significant current to flow easily when it is:",Reverse biased,Forward biased,Either biased direction equally,Not connected to any battery,B
Physics,Semiconductor Electronics,Diode as Rectifier,Easy,45,"A p-n junction diode is used as a rectifier because it:",Amplifies AC signals,Converts AC (alternating current) to DC (direct current) by allowing current in only one direction,Generates electromagnetic waves,Stores electrical charge,B
Physics,Semiconductor Electronics,Half-wave Rectifier Output,Easy,50,"A half-wave rectifier uses a single diode and its output consists of:",Both half-cycles of the AC input,Only one half-cycle (either positive or negative) of the AC input,A steady DC with no fluctuation,A sinusoidal output at double the input frequency,B
Physics,Semiconductor Electronics,Full-wave Rectifier Output,Easy,50,"A full-wave rectifier uses both half-cycles of the input AC. The output consists of:",Only the positive half-cycles,Only the negative half-cycles,Both half-cycles of the AC but both appearing on the same (positive) side,A smooth steady DC,C
Physics,Semiconductor Electronics,Zener Diode Operating Region,Easy,50,"A Zener diode is specially designed to operate in the:",Forward bias region below the knee voltage,Saturation region,Reverse breakdown region at a specific Zener voltage,No-bias (zero voltage) condition,C
Physics,Semiconductor Electronics,Zener Diode Application,Easy,45,"The primary application of a Zener diode is as a:",Rectifier (AC to DC conversion),Amplifier,Voltage regulator (to maintain a constant output voltage),Light emitter,C
Physics,Semiconductor Electronics,NPN Transistor Majority Carriers,Easy,50,"In an NPN transistor, the majority carriers in the emitter (n-type) are:",Holes,Protons,Electrons,Positrons,C
Physics,Semiconductor Electronics,PNP Transistor Majority Carriers,Easy,50,"In a PNP transistor, the majority carriers in the emitter (p-type) are:",Electrons,Holes,Protons,Neutrons,B
Physics,Semiconductor Electronics,Three Terminals of Transistor,Easy,45,"The three terminals of a transistor are:","Source, gate, drain","Anode, cathode, grid","Emitter, base, collector","Positive, negative, ground",C
Physics,Semiconductor Electronics,Common Emitter Configuration,Easy,50,"The common emitter (CE) configuration of a transistor is the most widely used amplifier configuration because it provides:",Only current gain but no voltage gain,Very low input and output impedance,Both current gain and voltage gain (power gain),Only voltage gain but no current gain,C
Physics,Semiconductor Electronics,Current Gain Beta in CE,Easy,50,"The current gain beta (beta = IC/IB) in the common emitter configuration represents:",The ratio of output current (collector) to input current (base),The ratio of emitter current to base current,The ratio of collector voltage to base voltage,The ratio of output power to input power,A
Physics,Semiconductor Electronics,Transistor as Switch,Easy,50,"A transistor acts as a switch because:","In the cut-off state (IB = 0), IC is negligible (switch OFF); in the saturation state (large IB), IC is maximum (switch ON)",It amplifies both current and voltage simultaneously,It generates its own power,It blocks both forward and reverse current equally,A
Physics,Semiconductor Electronics,AND Gate Output,Easy,50,"The output of an AND gate is HIGH (1) only when:",At least one input is HIGH,All inputs are LOW,All inputs are HIGH,At least one input is LOW,C
Physics,Semiconductor Electronics,OR Gate Output,Easy,50,"The output of an OR gate is LOW (0) only when:",All inputs are HIGH,At least one input is HIGH,All inputs are LOW,At least one input is LOW,C
Physics,Semiconductor Electronics,NOT Gate Output,Easy,45,"A NOT gate (inverter) produces an output that is:",The same as the input,The logical complement (opposite) of the input,The AND of the two inputs,Always HIGH,B
Physics,Semiconductor Electronics,NAND Gate as Universal Gate,Easy,50,"NAND gate is called a universal gate because:",It performs the NAND operation only,"Any logic circuit (AND, OR, NOT, and more) can be built using only NAND gates",It is the most power efficient gate,It has the fastest switching speed,B
Physics,Semiconductor Electronics,NOR Gate as Universal Gate,Easy,50,"NOR gate is also called a universal gate because:",It performs only the NOR operation,It consumes the least power,Any logic circuit can be implemented using only NOR gates,It is faster than the NAND gate,C
Physics,Semiconductor Electronics,Silicon Energy Gap,Easy,45,"The energy band gap of silicon (Si) at room temperature is approximately:",0.7 eV,1.1 eV,5 eV,12 eV,B
Physics,Semiconductor Electronics,Germanium Energy Gap,Easy,45,"The energy band gap of germanium (Ge) at room temperature is approximately:",1.1 eV,0.7 eV,5 eV,0.1 eV,B
Physics,Semiconductor Electronics,Silicon Diode Threshold Voltage,Easy,45,"The threshold (knee) voltage of a silicon p-n junction diode below which negligible current flows in forward bias is approximately:",0.1 V,0.3 V,0.7 V,1.5 V,C
Physics,Semiconductor Electronics,Temperature Effect on Semiconductor,Easy,50,"As the temperature of an intrinsic semiconductor increases, the number of thermally generated electron-hole pairs:",Decreases,Remains the same,Increases (more thermal energy available to excite electrons),Becomes zero,C
Physics,Semiconductor Electronics,Donor Impurity in n-type,Easy,50,"A donor impurity atom in an n-type semiconductor has five valence electrons. Four of these form covalent bonds with silicon atoms. The fifth electron:",Is captured by a nearby hole,Is donated as a free electron to the conduction band at room temperature,Forms an extra covalent bond,Is absorbed by the nucleus,B
Physics,Semiconductor Electronics,Energy Gap Comparison Ge Si GaAs,Medium,60,"The energy gaps of germanium, silicon, and gallium arsenide (GaAs) in increasing order are:",GaAs < Si < Ge,Si < Ge < GaAs,Ge < Si < GaAs,Ge < GaAs < Si,C
Physics,Semiconductor Electronics,Mass Action Law,Medium,75,"The mass action law for semiconductors states that at a given temperature:",ne + nh = constant,ne - nh = ni,ne * nh = ni^2 (product of electron and hole concentrations equals the square of the intrinsic carrier concentration),ne / nh = ni,C
Physics,Semiconductor Electronics,Carrier Concentration in n-type,Medium,75,"In an n-type semiconductor with donor concentration ND >> ni (intrinsic concentration), the electron concentration (ne) is approximately:",ne = ni,ne = ND,ne = ND / ni,ne = ni^2 / ND,B
Physics,Semiconductor Electronics,Hole Concentration in n-type via Mass Action Law,Medium,90,"In an n-type semiconductor with electron concentration ne = 10^16 cm^-3 and intrinsic carrier concentration ni = 10^10 cm^-3, the hole concentration (nh) is:",10^4 cm^-3,10^10 cm^-3,10^16 cm^-3,10^6 cm^-3,A
Physics,Semiconductor Electronics,Barrier Potential at p-n Junction,Medium,60,"The built-in potential barrier (contact potential) at a p-n junction arises because:",The depletion region has no charges,The fixed ionized donor and acceptor atoms in the depletion region create an internal electric field (and potential) that opposes further diffusion,The junction is always externally biased,The junction is made of two metals,B
Physics,Semiconductor Electronics,Forward Bias Condition,Medium,60,"For a p-n junction to be forward biased, the external battery must be connected such that:",The positive terminal is connected to the n-side and negative terminal to the p-side,The positive terminal is connected to the p-side and negative terminal to the n-side,Both terminals are connected to the p-side,Both terminals are connected to the n-side,B
Physics,Semiconductor Electronics,Reverse Saturation Current,Medium,60,"The small reverse current that flows through a p-n junction in reverse bias (before breakdown) is called the reverse saturation current. It is primarily due to:",Majority carrier diffusion across the junction,Minority carrier drift across the junction driven by the reverse bias electric field,Electrons tunneling through the junction,Avalanche multiplication of carriers,B
Physics,Semiconductor Electronics,Half-wave Rectifier Output Frequency,Medium,75,"If the input AC supply has a frequency of 50 Hz, the frequency of the pulsating DC output from a half-wave rectifier is:",25 Hz,50 Hz,100 Hz,200 Hz,B
Physics,Semiconductor Electronics,Full-wave Rectifier Output Frequency,Medium,75,"If the input AC supply has a frequency of 50 Hz, the frequency of the pulsating DC output from a full-wave rectifier (centre-tap or bridge) is:",25 Hz,50 Hz,100 Hz,200 Hz,C
Physics,Semiconductor Electronics,Bridge Rectifier Configuration,Medium,60,"A bridge rectifier uses __ diodes arranged in a bridge configuration to achieve full-wave rectification:",1,2,3,4,D
Physics,Semiconductor Electronics,Emitter Current Relation,Medium,60,"In a transistor, the emitter current (IE), collector current (IC), and base current (IB) are related by:",IE = IC - IB,IE = IC + IB,IE = IC * IB,IE = IC / IB,B
Physics,Semiconductor Electronics,Alpha Current Gain Definition,Medium,60,"The current gain alpha (alpha) of a transistor in the common base (CB) configuration is defined as:",alpha = IB / IE,"alpha = IC / IE (ratio of collector to emitter current, always < 1)",alpha = IC / IB,alpha = IE / IB,B
Physics,Semiconductor Electronics,Alpha Beta Relationship,Medium,75,"The common base current gain alpha and common emitter current gain beta of a transistor are related by:",alpha = beta / (1 + beta),beta = alpha / (1 - alpha),beta = alpha / (1 + alpha),alpha = beta * (1 + beta),B
Physics,Semiconductor Electronics,Phase Reversal in CE Amplifier,Medium,60,"In a common emitter (CE) transistor amplifier, the output voltage signal (across the collector resistor) is __ with respect to the input signal:",In phase (0 degrees phase difference),90 degrees out of phase,180 degrees out of phase (phase reversal),360 degrees out of phase,C
Physics,Semiconductor Electronics,Transistor in Saturation as Switch ON,Medium,60,"When a transistor is used as a switch in the ON state (saturation), the collector-emitter voltage VCE is approximately:",VCC (the full supply voltage),VCC / 2,Close to 0 V (transistor is fully conducting),Equal to the base-emitter voltage VBE,C
Physics,Semiconductor Electronics,NAND Gate Truth Table,Medium,75,"For a 2-input NAND gate with inputs A and B, the output Y = 0 only when:",A = 0 and B = 0,A = 1 and B = 0,A = 0 and B = 1,A = 1 and B = 1,D
Physics,Semiconductor Electronics,NOR Gate Truth Table,Medium,75,"For a 2-input NOR gate with inputs A and B, the output Y = 1 only when:",A = 1 and B = 1,A = 1 and B = 0,A = 0 and B = 1,A = 0 and B = 0,D
Physics,Semiconductor Electronics,Boolean Expression for NAND,Medium,60,"The Boolean expression for the output of a 2-input NAND gate with inputs A and B is:",Y = A * B,Y = A + B,Y = NOT(A * B) = (A*B)',Y = NOT(A + B),C
Physics,Semiconductor Electronics,De Morgan First Theorem,Medium,75,"De Morgan's first theorem states that NOT(A + B) equals:",NOT(A) + NOT(B),NOT(A) * NOT(B),A * B,NOT(A * B),B
Physics,Semiconductor Electronics,De Morgan Second Theorem,Medium,75,"De Morgan's second theorem states that NOT(A * B) equals:",NOT(A) * NOT(B),NOT(A) + NOT(B),A + B,A * B,B
Physics,Semiconductor Electronics,XOR Gate Output,Medium,60,"An XOR (exclusive OR) gate produces a HIGH output when:",Both inputs are HIGH,Both inputs are LOW,The inputs are different (one HIGH and one LOW),At least one input is HIGH,C
Physics,Semiconductor Electronics,LED Operation,Medium,60,"A Light Emitting Diode (LED) emits light when it is:","Reverse biased beyond its breakdown voltage","Forward biased, causing electrons and holes to recombine and release energy as photons",Not connected to any power supply,Operated at room temperature in the dark only,B
Physics,Semiconductor Electronics,Photodiode Bias Condition,Medium,60,"A photodiode (used to detect light) is normally operated under:",Forward bias,Reverse bias (the small reverse current increases with incident light intensity),Zero bias,Any bias direction equally,B
Physics,Semiconductor Electronics,Zener Diode Breakdown Voltage,Medium,60,"In a Zener diode voltage regulator, the output voltage is maintained approximately equal to:",The supply voltage VCC,The Zener breakdown voltage VZ regardless of load changes,The peak of the AC input,Half the input voltage,B
Physics,Semiconductor Electronics,Base Current Calculation from Beta,Hard,90,"A transistor in a CE circuit has a collector current IC = 5 mA and a current gain beta = 100. The base current IB is:",500 microampere,50 microampere,5 microampere,0.5 microampere,B
Physics,Semiconductor Electronics,Voltage Gain of CE Amplifier,Hard,90,"A CE transistor amplifier has collector resistance RC = 5 kohm and input resistance ri = 1 kohm with beta = 100. The voltage gain (Av = beta * RC / ri) is approximately:",5,50,500,5000,C
Physics,Semiconductor Electronics,Alpha from Beta Calculation,Hard,90,"A transistor has a common emitter current gain beta = 99. Its common base current gain alpha is (alpha = beta / (1 + beta)):",0.1,0.5,0.99,1.0,C
Physics,Semiconductor Electronics,Emitter Current Calculation,Hard,90,"A transistor has IB = 50 microampere and IC = 2 mA. The emitter current IE is:",1.95 mA,2 mA,2.05 mA,3 mA,C
Physics,Semiconductor Electronics,Hole Concentration from Mass Action Law,Hard,90,"An n-type silicon sample at room temperature has electron concentration ne = 4 * 10^19 m^-3 and intrinsic carrier concentration ni = 1.5 * 10^16 m^-3. The hole concentration nh is approximately (using ne * nh = ni^2):",5.6 * 10^12 m^-3,1.5 * 10^16 m^-3,4 * 10^19 m^-3,2.25 * 10^32 m^-3,A
Physics,Semiconductor Electronics,Boolean Simplification Using De Morgan,Hard,90,"Using De Morgan's theorem, the expression NOT(A * B) simplifies to:",NOT(A) * NOT(B),NOT(A) + NOT(B),A + B,NOT(A + B),B
Physics,Semiconductor Electronics,NAND to NOT Gate,Hard,75,"A NAND gate can be converted into a NOT gate by:",Connecting its two inputs together (both inputs tied to the same signal),Leaving one input unconnected,Connecting one input permanently to 0,Connecting the output back to one input,A
Physics,Semiconductor Electronics,NOR to NOT Gate,Hard,75,"A NOR gate can be converted into a NOT gate by:",Connecting its output to one of its inputs,Leaving one input permanently HIGH (1),Connecting both inputs together (tied to the same signal),Grounding the output,C
Physics,Semiconductor Electronics,Transistor Saturation Condition,Hard,90,"A transistor switch is in saturation (fully ON) when the base current IB is greater than or equal to IC(sat) / beta. If IC(sat) = 10 mA and beta = 50, the minimum IB required for saturation is:",0.05 mA,0.2 mA,0.5 mA,1 mA,B
Physics,Semiconductor Electronics,LED Emission Wavelength from Energy Gap,Hard,90,"An LED is made from a material with energy gap Eg = 1.9 eV. The wavelength of light emitted is approximately (hc = 1240 eV-nm):",365 nm,510 nm,653 nm,1240 nm,C
Physics,Semiconductor Electronics,Zener Regulator Output with Given VZ,Hard,90,"In a Zener regulator circuit, the input voltage is 15 V and the Zener breakdown voltage is VZ = 9 V. The output voltage across the load is:",15 V,6 V,9 V,24 V,C
Physics,Semiconductor Electronics,Full-wave Bridge Ripple Frequency,Hard,75,"A full-wave bridge rectifier is connected to a 60 Hz AC supply. The ripple frequency in the output DC is:",30 Hz,60 Hz,120 Hz,240 Hz,C
Physics,Semiconductor Electronics,Boolean Expression Simplification,Hard,90,"Simplify the Boolean expression Y = A*B + A*NOT(B). Using Boolean algebra (A*B + A*NOT(B) = A*(B + NOT(B)) = A*1 = A), the simplified expression is:",A + B,A * B,A,B,C
Physics,Semiconductor Electronics,NAND Implementation of AND,Hard,75,"To implement an AND gate using only NAND gates, you need:",One NAND gate with inputs A and B,"Two NAND gates: first NAND(A,B), then NOT that output using another NAND with inputs tied together",Three NAND gates,Four NAND gates,B
Physics,Semiconductor Electronics,NOR Implementation of OR,Hard,75,"To implement an OR gate using only NOR gates, you need:",One NOR gate,"Two NOR gates: first NOR(A,B), then NOT that output using another NOR with inputs tied together",Three NOR gates,Four NOR gates,B
Physics,Semiconductor Electronics,Current Gain from IC and IE,Hard,90,"A transistor in CB configuration has IE = 4 mA and IC = 3.96 mA. The value of IB is:",0.04 mA,0.4 mA,4 mA,7.96 mA,A
Physics,Semiconductor Electronics,Voltage Gain Calculation with Phase,Hard,90,"A CE amplifier has input voltage of 10 mV peak and voltage gain of 50. The output voltage (peak) is:",5 mV,50 mV,500 mV (180 degrees out of phase with input),5 V,C
Physics,Semiconductor Electronics,Boolean Expression for NOR,Hard,60,"The Boolean expression for the output of a 2-input NOR gate with inputs A and B is:",Y = A + B,Y = NOT(A) + NOT(B),Y = NOT(A + B),Y = NOT(A * B),C
Physics,Semiconductor Electronics,Minority Carrier Effect in Reverse Bias,Hard,75,"The reverse saturation current in a p-n junction is extremely small because:",The depletion region has no charge carriers at all,It depends only on the small number of thermally generated minority carriers (electrons in p-side and holes in n-side) drifting across the junction,The junction resistance is zero in reverse bias,Both majority and minority carriers are blocked,B
Physics,Semiconductor Electronics,CE Input and Output Impedance,Medium,60,"In the common emitter (CE) configuration, the input impedance is __ and the output impedance is __:",Both high,Low input and high output,High input and low output,Both low,B
Physics,Semiconductor Electronics,CB Configuration Input Impedance,Medium,60,"Compared to the CE configuration, the common base (CB) configuration has:",Higher input impedance and lower current gain,Lower input impedance and current gain less than 1,Higher voltage gain and lower input impedance,The same properties as CE,B
Physics,Semiconductor Electronics,Transistor VBE Bias Voltage Silicon,Medium,60,"For a silicon NPN transistor to conduct in the active region, the base-emitter voltage (VBE) must be approximately:",0 V,0.3 V,0.7 V,1.4 V,C
