subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Chemistry,Some Basic Concepts of Chemistry,Mole Concept,Easy,40,The SI unit for the amount of a substance is the:,kelvin,mole,litre,gram,B
Chemistry,Some Basic Concepts of Chemistry,Avogadro Number,Easy,45,Avogadro's number is approximately:,3.14,9.8,1.6 x 10^-19,6.022 x 10^23,D
Chemistry,Some Basic Concepts of Chemistry,Mole Concept,Easy,45,The number of moles in 36 g of water (molar mass 18 g/mol) is:,36,18,1,2,D
Chemistry,Some Basic Concepts of Chemistry,Molar Mass,Easy,45,"The molecular mass of CO2 (C = 12, O = 16) is:",28,32,12,44,D
Chemistry,Some Basic Concepts of Chemistry,Empirical Formula,Medium,55,"The empirical formula of glucose, C6H12O6, is:",CH2O,CHO,C6H12O6,C2H4O2,A
Chemistry,Some Basic Concepts of Chemistry,Mole Concept,Medium,55,The number of atoms present in 1 mole of oxygen molecules (O2) is:,6.022 x 10^23,12.044 x 10^24,1.2 x 10^24,3.011 x 10^23,C
Chemistry,Some Basic Concepts of Chemistry,Mass and Moles,Medium,55,The mass of 0.5 mole of NaCl (molar mass 58.5 g/mol) is:,14.6 g,29.25 g,117 g,58.5 g,B
Chemistry,Some Basic Concepts of Chemistry,Molar Volume,Medium,50,"At STP, one mole of an ideal gas occupies a volume of:",24 L,22.4 L,1 L,11.2 L,B
Chemistry,Some Basic Concepts of Chemistry,Molar Volume,Hard,80,The number of molecules present in 11.2 L of a gas at STP is:,11.2,1.2 x 10^24,6.022 x 10^23,3.011 x 10^23,D
Chemistry,Some Basic Concepts of Chemistry,Stoichiometry,Hard,80,"In the reaction N2 + 3H2 -> 2NH3, the number of moles of NH3 produced from 2 moles of N2 (with excess H2) is:",1,2,4,6,C
Chemistry,Some Basic Concepts of Chemistry,Percentage Composition,Hard,85,"The percentage by mass of nitrogen in ammonia, NH3 (N = 14, H = 1), is approximately:",25%,82.4%,50%,17.6%,B
Chemistry,Some Basic Concepts of Chemistry,Stoichiometry,Hard,80,"The mass of carbon present in 44 g of CO2 (C = 12, O = 16) is:",12 g,44 g,16 g,32 g,A
Chemistry,Structure of Atom,Subatomic Particles,Easy,40,The charge on an electron is:,positive,variable,negative,neutral,C
Chemistry,Structure of Atom,Subatomic Particles,Easy,45,The subatomic particle with negligible mass and a negative charge is the:,neutron,positron,proton,electron,D
Chemistry,Structure of Atom,Atomic Number,Easy,45,The atomic number of an element is equal to its number of:,neutrons and protons together,nucleons,protons,neutrons,C
Chemistry,Structure of Atom,Mass Number,Easy,45,The mass number of an atom equals the sum of its:,electrons and protons,protons and electrons,neutrons only,protons and neutrons,D
Chemistry,Structure of Atom,Electron Shells,Medium,55,The maximum number of electrons that the second shell (n = 2) can hold is:,8,32,2,18,A
Chemistry,Structure of Atom,Orbitals,Medium,55,The shape of an s-orbital is:,spherical,pyramidal,double dumb-bell,dumb-bell,A
Chemistry,Structure of Atom,Quantum Numbers,Medium,55,The quantum number that describes the orientation of an orbital in space is the:,magnetic quantum number,principal quantum number,spin quantum number,azimuthal quantum number,A
Chemistry,Structure of Atom,Subshells,Medium,55,The maximum number of electrons that a p-subshell can accommodate is:,10,2,14,6,D
Chemistry,Structure of Atom,Electronic Configuration,Hard,80,The electronic configuration (shell-wise) of a chlorine atom (Z = 17) is:,2 8 8,2 8 7,2 7 8,2 8 6,B
Chemistry,Structure of Atom,Uncertainty Principle,Hard,80,Heisenberg's uncertainty principle states that one cannot simultaneously determine the exact:,position and momentum of an electron,spin and charge,energy and charge,charge and mass,A
