subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,Nuclei,Nuclear Composition Protons and Neutrons,Easy,45,"The nucleus of an atom is composed of:",Only protons,Only neutrons,Protons and neutrons (collectively called nucleons),Protons and electrons,C
Physics,Nuclei,Nucleon Definition,Easy,45,"The term 'nucleon' refers to:",Only a proton,Only a neutron,Either a proton or a neutron in the nucleus,An electron in the nucleus,C
Physics,Nuclei,Isotopes Definition,Easy,50,"Isotopes are atoms of the same element that have the same atomic number (Z) but different:",Number of protons,Number of electrons,Mass number A (and hence different number of neutrons),Chemical properties,C
Physics,Nuclei,Isobars Definition,Easy,50,"Isobars are atoms that have the same mass number A but different:",Number of neutrons,Number of protons (and different atomic number Z),Chemical symbol,Atomic mass unit,B
Physics,Nuclei,Isotones Definition,Easy,50,"Isotones are atoms of different elements that have the same:",Atomic number Z,Mass number A,Number of neutrons,Number of protons,C
Physics,Nuclei,Nuclear Radius Formula,Easy,50,"The empirical formula for the nuclear radius as a function of mass number A is:",R = R0 * A (linear),R = R0 * A^(1/3) (cube root of A),R = R0 * A^2,R = R0 / A^(1/3),B
Physics,Nuclei,R0 Value,Easy,45,"The constant R0 in the nuclear radius formula (R = R0 * A^(1/3)) has an approximate value of:",1.2 * 10^-10 m,1.2 * 10^-12 m,1.2 * 10^-15 m (1.2 fm),1.2 * 10^-18 m,C
Physics,Nuclei,Nuclear Density Uniformity,Easy,50,"The nuclear density is approximately the same for all nuclei because:",The nucleus has the same number of protons in all atoms,"The nuclear radius R is proportional to A^(1/3), so volume is proportional to A, making density (mass/volume) approximately constant",Nuclei are all made of the same material,Nuclear forces are uniform everywhere,B
Physics,Nuclei,Mass Defect Definition,Easy,50,"The mass defect (Delta_m) of a nucleus is defined as the difference between:",The mass number A and the atomic number Z,The mass of constituent free nucleons and the actual nuclear mass,"The nuclear mass and the electronic mass, subtracted",The binding energy and kinetic energy,B
Physics,Nuclei,Binding Energy Definition,Easy,50,"The binding energy (BE) of a nucleus is the energy required to completely separate all its constituent nucleons. It is related to mass defect (Delta_m) by:",BE = Delta_m * c,BE = Delta_m * c^2,BE = Delta_m / c^2,BE = Delta_m * c^3,B
Physics,Nuclei,Binding Energy Per Nucleon Concept,Easy,50,"The binding energy per nucleon (BE/A) is a measure of:",The total energy of the nucleus,The stability of the nucleus — a higher value indicates a more stable nucleus,The radioactivity of the nucleus,The number of protons in the nucleus,B
Physics,Nuclei,Most Stable Nucleus,Easy,50,"The nucleus with the highest binding energy per nucleon (most stable nucleus) is approximately:",Hydrogen-1 (H-1),Iron-56 (Fe-56),Uranium-235 (U-235),Oxygen-16 (O-16),B
Physics,Nuclei,Alpha Particle Composition,Easy,45,"An alpha particle is identical to:",A proton,A neutron,A helium-4 nucleus (two protons and two neutrons),A beta particle,C
Physics,Nuclei,Beta Minus Particle,Easy,45,"A beta-minus (beta^-) particle is:",A proton ejected from the nucleus,An electron ejected from the nucleus,A helium nucleus,A high-energy photon,B
Physics,Nuclei,Gamma Ray Nature,Easy,45,"Gamma rays are:",Helium nuclei,High-speed electrons,High-energy electromagnetic photons emitted by the nucleus,Neutrons emitted from the nucleus,C
Physics,Nuclei,Radioactive Decay Law,Easy,50,"The radioactive decay law is expressed as (N0 = initial number of nuclei, lambda = decay constant, t = time):",N = N0 * e^(+lambda*t),N = N0 * e^(-lambda*t),N = N0 - lambda * t,N = N0 / (lambda * t),B
Physics,Nuclei,Half Life Definition,Easy,50,"The half-life (T_1/2) of a radioactive nucleus is:",The time for the nucleus to lose half its mass,The time taken for half of the radioactive nuclei in a given sample to disintegrate,The time after which all nuclei have decayed,The mean lifetime of a single nucleus,B
Physics,Nuclei,Mean Life Formula,Easy,50,"The mean (average) life (tau) of a radioactive nucleus is related to the decay constant (lambda) by:",tau = lambda,tau = lambda^2,tau = 1/lambda,tau = ln(2)/lambda,C
Physics,Nuclei,Half Life vs Mean Life,Easy,50,"The relationship between the half-life (T_1/2) and the mean life (tau) of a radioactive nucleus is:",T_1/2 = tau,T_1/2 = 2 * tau,T_1/2 = tau * ln(2) (approximately 0.693 * tau),T_1/2 = tau / ln(2),C
Physics,Nuclei,Activity Definition,Easy,50,"The activity (A) of a radioactive sample (number of decays per second) is given by:",A = N / lambda,A = lambda * N (where lambda is the decay constant and N is the number of undecayed nuclei),A = N * T_1/2,A = lambda / N,B
Physics,Nuclei,Activity Unit Becquerel,Easy,45,"The SI unit of radioactivity is the Becquerel (Bq). One Becquerel corresponds to:",10^6 disintegrations per second,1 disintegration per second,3.7 * 10^10 disintegrations per second,1 disintegration per minute,B
Physics,Nuclei,Curie Unit of Activity,Easy,45,"The curie (Ci) is an older unit of radioactivity defined as:",1 disintegration per second,3.7 * 10^10 disintegrations per second,10^10 disintegrations per second,1 disintegration per minute,B
Physics,Nuclei,Nuclear Fission Definition,Easy,50,"Nuclear fission is the process in which:",A light nucleus absorbs a neutron to become heavier,A heavy nucleus splits into two smaller nuclei (of comparable mass) releasing energy,Two light nuclei combine to form a heavier nucleus,A proton is emitted from a heavy nucleus,B
Physics,Nuclei,Nuclear Fusion Definition,Easy,50,"Nuclear fusion is the process in which:",A heavy nucleus breaks into two smaller fragments,Two or more light nuclei combine to form a heavier nucleus releasing energy,A neutron decays into a proton,A nucleus emits a gamma ray only,B
Physics,Nuclei,Chain Reaction Condition,Easy,50,"For a self-sustaining nuclear chain reaction to occur, the reproduction factor k (average number of neutrons from one fission that cause further fissions) must be:",k < 1,k = 0,k >= 1 (at least one neutron from each fission must trigger another fission),k = 100,C
Physics,Nuclei,Critical Mass Definition,Easy,50,"The critical mass of a fissile material is:",The mass of a single nucleus,The minimum mass of fissile material needed to sustain a chain reaction,The mass of all neutrons in the nucleus,The mass of radioactive waste produced,B
Physics,Nuclei,Moderator Function in Reactor,Easy,50,"The moderator in a nuclear fission reactor is used to:",Absorb all neutrons to stop the reaction,Slow down (moderate) fast neutrons to thermal speeds that are more likely to cause fission in U-235,Generate electricity directly,Reflect alpha particles,B
Physics,Nuclei,Control Rods in Nuclear Reactor,Easy,50,"Control rods in a nuclear reactor (typically made of cadmium or boron) are used to:",Speed up the chain reaction by producing more neutrons,Absorb excess neutrons and thereby control the rate of the chain reaction,Cool the reactor core,Shield the reactor from external radiation,B
Physics,Nuclei,Alpha Decay Changes in Z and A,Easy,50,"In alpha decay, the parent nucleus loses 2 protons and 2 neutrons. As a result, the atomic number Z decreases by __ and mass number A decreases by __:",1 and 1,2 and 2,2 and 4,4 and 2,C
Physics,Nuclei,Beta Minus Decay Changes,Easy,50,"In beta-minus decay, a neutron in the nucleus transforms into a proton and an electron (and antineutrino). The effect on the nucleus is that:",Z increases by 1 and A increases by 1,Z increases by 1 and A stays the same (neutron replaced by proton),Z decreases by 1 and A stays the same,Z stays the same and A decreases by 1,B
Physics,Nuclei,Gamma Decay No Z or A Change,Easy,45,"When a nucleus emits a gamma ray, its atomic number Z and mass number A:",Both increase,Both decrease,Both remain unchanged,Z increases by 1 and A stays the same,C
Physics,Nuclei,Q Value of Nuclear Reaction,Easy,50,"The Q value of a nuclear reaction is the energy released (Q > 0) or absorbed (Q < 0). It equals:",The mass of products minus mass of reactants,The mass difference (mass of reactants minus mass of products) multiplied by c^2,The number of protons produced,The kinetic energy of all reactants,B
Physics,Nuclei,Fission of U-235 Energy Release,Easy,50,"When U-235 undergoes fission after absorbing a slow neutron, the energy released per fission event is approximately:",1 eV,1000 eV,200 MeV,200 GeV,C
Physics,Nuclei,Fusion in the Sun,Easy,50,"The energy released by the sun originates from:",Fission of uranium in the solar core,Fusion of hydrogen nuclei (protons) into helium nuclei in the solar core,Combustion of solar gases,Radioactive decay of carbon,B
Physics,Nuclei,Decay Constant Definition,Easy,50,"The radioactive decay constant (lambda) represents:",The number of nuclei in the sample,The probability per unit time that a given nucleus will decay,The total number of decays in the sample,The half-life of the nucleus,B
Physics,Nuclei,Nuclear Forces Properties,Easy,50,"Nuclear forces (the strong force holding nucleons together in the nucleus) are:",Long-range and repulsive,Long-range and attractive,Short-range and very strong (attractive at short range),Electrical forces between protons,C
Physics,Nuclei,Binding Energy Per Nucleon Numerical,Medium,75,"The binding energy per nucleon for Fe-56 (most stable nucleus) is approximately:",4.5 MeV,6 MeV,8.8 MeV,15 MeV,C
Physics,Nuclei,Binding Energy of Deuteron,Medium,90,"The binding energy of a deuteron (H-2 nucleus with 1 proton and 1 neutron, mass defect Delta_m = 0.00239 u) is approximately (1 u = 931.5 MeV/c^2):",0.00239 MeV,2.23 MeV,4.5 MeV,931.5 MeV,B
Physics,Nuclei,Half Life Calculation - After 2 Half Lives,Medium,75,"A radioactive sample has an initial count of 1600 counts/minute. After 2 half-lives, the count rate will be:",800 counts/min,400 counts/min,200 counts/min,100 counts/min,B
Physics,Nuclei,Half Life Calculation - After 3 Half Lives,Medium,75,"A radioactive sample initially has N0 = 8000 nuclei. After 3 half-lives, the number of undecayed nuclei is:",4000,2000,1000,500,C
Physics,Nuclei,Decay Constant from Half Life,Medium,75,"The decay constant (lambda) of a radioactive element with half-life T_1/2 is given by:",lambda = T_1/2 / ln(2),lambda = ln(2) / T_1/2,lambda = T_1/2 * ln(2),lambda = 1 / T_1/2^2,B
Physics,Nuclei,Activity After One Half Life,Medium,75,"If the initial activity of a radioactive sample is A0, the activity after one half-life is:",A0,A0/2,A0/4,A0/8,B
Physics,Nuclei,Nuclear Radius Ratio for Different A,Medium,90,"The ratio of nuclear radii of nuclei with mass numbers A1 = 8 and A2 = 64 (using R proportional to A^(1/3)) is:",1:2,1:4,1:8,1:16,B
Physics,Nuclei,Mass Energy Equivalence in BE Calculation,Medium,90,"The binding energy per nucleon of C-12 is 7.68 MeV. The total binding energy of C-12 (12 nucleons) is:",7.68 MeV,30.72 MeV,92.16 MeV,768 MeV,C
Physics,Nuclei,Number of Nuclei After n Half Lives,Medium,75,"After n half-lives, the fraction of undecayed radioactive nuclei remaining (N/N0) is:",1 - n/2,1/2^n,n * (1/2),e^(-n),B
Physics,Nuclei,Activity Calculation from Lambda and N,Medium,90,"A radioactive sample has 10^20 nuclei and a decay constant lambda = 10^-10 per second. The activity (in Becquerel) is:",10^10 Bq,10^20 Bq,10^30 Bq,10^-10 Bq,A
Physics,Nuclei,Alpha Particle Penetrating Power,Medium,60,"Among alpha, beta, and gamma radiations, the one with the greatest penetrating power is:",Alpha particle (highest mass),Beta particle,Gamma radiation (electromagnetic photon),All have equal penetrating power,C
Physics,Nuclei,Beta Plus Decay Product,Medium,75,"In beta-plus (positron) decay, the nucleus emits a positron and a neutrino. The effect on the nucleus is that:",Z increases by 1 and A stays the same,Z decreases by 1 and A stays the same,Z decreases by 1 and A decreases by 1,Z stays the same and A decreases by 1,B
Physics,Nuclei,Ionizing Power of Radiations,Medium,60,"Among alpha, beta, and gamma radiations, the one with the highest ionizing power (causing most ionization per unit path length) is:",Gamma radiation,Beta particle,Alpha particle (due to its large charge and mass),Neutron,C
Physics,Nuclei,Q Value Calculation for Alpha Decay,Medium,90,"A nucleus X decays by alpha emission to form nucleus Y. If the masses are M(X) = 226.0254 u and M(Y) = 222.0176 u and M(He-4) = 4.0026 u, then the Q value in MeV is (1 u = 931.5 MeV/c^2, Delta_m = 0.0052 u):",0.0052 MeV,4.84 MeV,931.5 MeV,26 MeV,B
