id,mock_id,student_id,started_at,submitted_at,total_marks,max_marks,accuracy
f6153f22-f526-412b-bc08-578061a6f7a8,75754edf-8c13-41eb-8a9e-04ec056e9292,f8d4b226-dfea-4559-8e4e-1739a7526578,2026-06-13T19:29:57.87033+00:00,2026-05-18T12:29:56.618+00:00,15,40,50
6678ab39-58f9-481e-b390-df80f2c6bc27,54351670-64bd-4f06-8bd7-6263434e124f,4e62b004-6ef6-45ee-89b5-8a46d505c4b2,2026-06-13T19:29:57.87033+00:00,2026-06-03T03:29:56.625+00:00,21,40,67
a0d90108-9793-490f-9b50-771dfb7b2ec2,83010aaf-4c7b-42f3-9c4d-897f724394e8,3fa6590c-ff3c-4bf2-9126-058d3f8279d3,2026-06-13T19:29:57.87033+00:00,2026-05-19T10:29:56.627+00:00,16,40,56
688c7c21-0998-40a3-b92f-3659b4998bbb,08257482-a716-4675-a79d-c882117dfc54,3fa6590c-ff3c-4bf2-9126-058d3f8279d3,2026-06-13T19:29:57.87033+00:00,2026-05-21T05:29:56.627+00:00,26,40,78
b84c26f7-7d22-4280-ae8a-787bc57857d1,0e5b9449-c154-4342-a38a-c7e1aa923555,3fa6590c-ff3c-4bf2-9126-058d3f8279d3,2026-06-13T19:29:57.87033+00:00,2026-06-14T14:29:56.627+00:00,40,40,100
e6199837-22d3-4709-9b60-d05c43e079e9,f36502e1-c58a-40d4-9dde-da1bb834001d,cd45b95c-98b4-4c12-a06b-a76add268e1c,2026-06-13T19:29:57.87033+00:00,2026-05-20T11:29:56.64+00:00,12,40,50
65e17bb5-13d9-4e7d-a8cc-cee75654f036,fbed9c8b-c520-4222-920e-f96d80425202,7e3cf475-818e-4608-8953-e10e43cad937,2026-06-13T19:29:57.87033+00:00,2026-05-20T11:59:56.654+00:00,10,40,40
84cf16c6-4194-4252-bde2-88bc24b27521,71538059-3be5-462c-822d-632082500077,f7125a3d-30f3-4c96-b879-c95bcd58f8be,2026-06-13T19:29:57.87033+00:00,2026-05-26T07:29:56.661+00:00,11,40,44
deefb95f-9c53-48d9-9c01-7680cb3934ac,040ffd4f-34d8-4e6f-83b5-9f6193d8f29f,0ac810fa-3f4d-4845-bac2-8bbacda3d344,2026-06-13T19:29:57.87033+00:00,2026-05-20T11:29:56.664+00:00,5,40,30
4bdb5833-9d5a-4559-bf81-1b1c4cb126e4,a792af6b-aa0c-4546-9f13-4e0f70ee5954,0ac810fa-3f4d-4845-bac2-8bbacda3d344,2026-06-13T19:29:57.87033+00:00,2026-05-21T04:29:56.664+00:00,16,40,56
f3858dd1-7ebd-45bf-8aa4-23a427ca054f,de69fae3-c761-4c17-a591-34d0590fbd3c,7b268bee-e79a-4d98-9c77-bb182fe14c26,2026-06-13T19:29:57.87033+00:00,2026-05-20T04:59:56.666+00:00,-4,40,11
047a368e-04c1-4052-904b-fa2f6ce7322f,4ae2e05d-7de3-45a6-98e5-14c032d46fa3,c0fe0eb1-c277-4a73-bc37-867f82799cf9,2026-06-13T19:29:57.87033+00:00,2026-06-01T10:29:56.668+00:00,5,40,30
a2385766-266d-48b8-ade0-b029d7a4f6d6,03198172-c381-40ee-83d2-3722f297a782,8fbf943a-13d9-4b96-97c8-4d55d41698bb,2026-06-13T19:29:57.87033+00:00,2026-06-03T04:29:56.671+00:00,20,40,60
f515f682-1730-48fb-b7db-1e696316c483,b20f53d6-b70f-4dc2-b760-30d77af5b3a1,8fbf943a-13d9-4b96-97c8-4d55d41698bb,2026-06-13T19:29:57.87033+00:00,2026-06-05T09:29:56.671+00:00,26,40,78
ed2a3646-9d70-479c-9405-dff7be1a4445,0417d8b8-1d36-452d-ad74-8fc78e95641d,4698613f-ce6a-40ed-aa20-eec7dc66d4be,2026-06-13T19:29:57.87033+00:00,2026-05-18T14:29:56.674+00:00,11,40,44
bab006f2-4683-4a03-93dd-dbeaff388ec9,c4550cf9-5e13-4dd5-9755-862f5f326908,4698613f-ce6a-40ed-aa20-eec7dc66d4be,2026-06-13T19:29:57.87033+00:00,2026-05-26T08:29:56.674+00:00,36,40,100
d9ebf117-0d10-4ceb-bfb1-b88ea2bbda6b,57004b66-4adb-474d-8fba-90c07f83f70e,ce27c4f0-1634-4e3f-993a-c32822319999,2026-06-13T19:29:57.87033+00:00,2026-05-21T04:29:56.677+00:00,21,40,67
12103ac2-4cc2-4f85-bbfc-86cacbecc762,40a95f7b-3257-4461-bcab-6aa493cecb6f,c0c9491c-99a9-4156-b002-6fd104126331,2026-06-13T19:29:57.87033+00:00,2026-05-28T05:29:56.679+00:00,10,40,40
ea755465-654c-48fc-a1d5-2c97e7aa0d07,cdba309f-b354-42ea-9b35-6c34f85540cb,8b644465-8068-4cb3-9e98-caf273de92d3,2026-06-13T19:29:57.87033+00:00,2026-05-18T08:29:56.68+00:00,16,40,56
53bd35da-f9d3-4917-9556-a8e5efc7ba43,047198a3-c5e4-479d-b351-2550f2690ec6,8b644465-8068-4cb3-9e98-caf273de92d3,2026-06-13T19:29:57.87033+00:00,2026-05-23T09:29:56.68+00:00,17,40,63
634cf14a-2210-4289-a51a-30a7d5b096fa,7bbf5b46-c55a-4c51-968d-8232065dc6fe,8b644465-8068-4cb3-9e98-caf273de92d3,2026-06-13T19:29:57.87033+00:00,2026-06-10T06:29:56.68+00:00,35,40,90
a01565ca-edc6-4912-a868-951eee78088d,ac517f63-8f36-4593-be59-a83d61fbe060,d394b4be-ad8b-4f00-9fd4-19952e6606d8,2026-06-13T19:29:57.87033+00:00,2026-05-27T13:29:56.682+00:00,10,40,40
33b95501-c03f-43a1-a404-6d8df3fb3b16,7057ad14-2265-4fd7-a1f5-736198bf664b,c616a3ef-fbf8-4393-a9e9-cbe567865c17,2026-06-13T19:29:57.87033+00:00,2026-05-21T06:29:56.69+00:00,16,40,56
f7152d82-08ce-47e3-b6f6-2dfe3aa4af8f,0926922e-adf0-45c5-b4b6-b63b68c9ab4d,46472cf2-7b3a-4e0c-a0e0-d1ad6ebd08c5,2026-06-13T19:29:57.87033+00:00,2026-05-26T15:59:56.691+00:00,16,40,56
a4bad286-bb1d-4c1c-93d5-fed14b8544ce,20632c79-b3ca-42f6-8bca-c63df5712958,46472cf2-7b3a-4e0c-a0e0-d1ad6ebd08c5,2026-06-13T19:29:57.87033+00:00,2026-05-31T05:29:56.691+00:00,16,40,56
d42c366f-7918-40f7-b69f-4d05e4dc2ec9,a852c822-4f83-492f-8230-f344c9a53336,46472cf2-7b3a-4e0c-a0e0-d1ad6ebd08c5,2026-06-13T19:29:57.87033+00:00,2026-06-05T09:29:56.691+00:00,5,40,30
e6231599-62c5-4062-8e5f-9601eba840c4,c38a1cf8-78ca-4d85-9a4d-26e26ee8ea83,32615950-0650-4d60-951d-bf1873582cc5,2026-06-13T19:29:57.87033+00:00,2026-05-29T14:29:56.693+00:00,40,40,100
ffdc4e7c-73d4-4db9-9b43-95c9fa2d178e,3e80902d-5a8b-4999-96fb-449d02090100,32615950-0650-4d60-951d-bf1873582cc5,2026-06-13T19:29:57.87033+00:00,2026-06-10T07:29:56.693+00:00,26,40,78
ce732057-c69e-4e01-b863-df718560a07c,71d72100-3fa3-4000-8b33-8acfe2c3239c,32615950-0650-4d60-951d-bf1873582cc5,2026-06-13T19:29:57.87033+00:00,2026-06-12T09:29:56.693+00:00,35,40,90
8c5a53c1-8e0c-4c5a-8931-52eb123a28cd,fdf656a0-3335-4fb5-a9e5-58c55524eee8,db9b3dc7-8afc-4d04-9dfa-f1da04ad4ce1,2026-06-13T19:29:57.87033+00:00,2026-05-24T04:29:56.695+00:00,12,40,50
c9f558f3-e390-4019-a635-b00089ec8ccc,f7fb77e2-40dc-4ad7-ac97-64261d7bf15f,46684f5f-3c50-4ab7-a313-ed405fe64609,2026-06-13T19:29:59.272287+00:00,2026-06-12T03:29:47.994+00:00,21,40,67
41a6aa9a-9aec-4d7d-b246-750359bbcd4a,074b7cd9-b1fd-43de-ad0d-0722404b3d5f,5a8a7df1-6530-490f-a9ed-3f450c327491,2026-06-13T19:30:04.072718+00:00,2026-05-23T09:30:02.51+00:00,25,40,70
4ff96174-6112-492b-a432-940447faee44,6d302e82-b0cb-4821-8b58-4ec016d68288,5a8a7df1-6530-490f-a9ed-3f450c327491,2026-06-13T19:30:04.072718+00:00,2026-05-26T14:30:02.51+00:00,12,40,50
7f393bed-f115-4d3d-b1a5-93e2887db317,313ef072-f6ee-47db-9001-00ee3c98e319,5a8a7df1-6530-490f-a9ed-3f450c327491,2026-06-13T19:30:04.072718+00:00,2026-06-02T11:00:02.51+00:00,26,40,78
97af5471-e1bc-442f-ba21-11af627aeb96,46e3a9ed-6d72-46ed-9b2a-7f3bdfc12ad7,46980bd5-9bf3-465e-aca7-f47b8a7628e9,2026-06-13T19:29:45.556712+00:00,2026-05-30T12:29:43.264+00:00,10,40,40
36d4b426-23cb-4659-a0f6-8dc484e887c7,058aae87-38cf-4fde-84c5-02aa05675f98,46980bd5-9bf3-465e-aca7-f47b8a7628e9,2026-06-13T19:29:45.556712+00:00,2026-06-05T14:29:43.264+00:00,21,40,67
bd012006-f962-44b1-b7c7-59a1095ecaee,0d8a9a6f-b153-40bd-afac-799027bf403b,d37c4573-68ff-48f5-a4dd-3e18c0abe5f8,2026-06-13T19:29:45.556712+00:00,2026-05-24T05:29:43.283+00:00,16,40,56
4d4f7e19-51d2-406d-bc7a-5bc05c418d98,048e5e40-6d21-41c2-bd07-e672dc734465,d37c4573-68ff-48f5-a4dd-3e18c0abe5f8,2026-06-13T19:29:45.556712+00:00,2026-05-31T03:29:43.283+00:00,35,40,90
28ec2efd-aa4e-4318-8029-6dcfb0392f92,0a52b565-47a5-45b2-b5d5-a84d58de7b09,6176f941-e143-4fc6-87df-6b5bd993fbd6,2026-06-13T19:29:45.556712+00:00,2026-05-25T11:29:43.29+00:00,26,40,78
4997d702-4e4d-4f3e-a4d0-44a6c00ff55a,2f2528de-f950-4c6b-830e-209ac132d0e9,6176f941-e143-4fc6-87df-6b5bd993fbd6,2026-06-13T19:29:45.556712+00:00,2026-06-01T04:29:43.29+00:00,35,40,90
ffa65238-ff49-4dbe-8869-da14628b642d,333cc7f3-97a7-4257-9f43-8216999e5600,6176f941-e143-4fc6-87df-6b5bd993fbd6,2026-06-13T19:29:45.556712+00:00,2026-06-08T12:29:43.29+00:00,40,40,100
9e4b4ac0-fcfc-444f-b19a-ae0696d1af89,04427814-861b-4e70-94e3-884ec4edbeac,6176f941-e143-4fc6-87df-6b5bd993fbd6,2026-06-13T19:29:45.556712+00:00,2026-06-11T11:29:43.29+00:00,25,40,70
c91ec5fa-363c-4f24-922b-890b6b627721,22f853a6-5dd9-4f10-9a90-480ffbbda4c2,6f8e4fe6-5364-40e1-86cf-70e57cf9b635,2026-06-13T19:29:45.556712+00:00,2026-05-19T03:29:43.297+00:00,16,40,56
b4b5ef82-5aab-487a-aa68-b16e7ae3b23e,0db04f78-7a0d-4d32-b11a-0ab54fb89bf1,6f8e4fe6-5364-40e1-86cf-70e57cf9b635,2026-06-13T19:29:45.556712+00:00,2026-05-23T14:29:43.297+00:00,35,40,90
da518728-117f-4eb5-8f21-8cad6dc40ccc,b43bd0a5-bc6c-4be9-82f1-bb82c027c6f2,6f8e4fe6-5364-40e1-86cf-70e57cf9b635,2026-06-13T19:29:45.556712+00:00,2026-05-23T12:59:43.297+00:00,25,40,70
737e8150-f52d-4acb-8003-a975238ebe05,d03523db-4e63-4f98-9c9c-6bed462f7e26,6f8e4fe6-5364-40e1-86cf-70e57cf9b635,2026-06-13T19:29:45.556712+00:00,2026-06-08T11:29:43.297+00:00,26,40,78
f77f8dbd-622d-4398-bc79-6184f8d8d8c7,f8f80a21-94b8-455c-99e4-43f68fb7b53c,6f8e4fe6-5364-40e1-86cf-70e57cf9b635,2026-06-13T19:29:45.556712+00:00,2026-06-09T03:29:43.297+00:00,30,40,80
1d375fb4-27ef-4b8d-92a8-aaced5f51cd6,0550b8f4-cc18-428c-a1d8-650f09f6e331,6f8e4fe6-5364-40e1-86cf-70e57cf9b635,2026-06-13T19:29:45.556712+00:00,2026-06-11T04:29:43.297+00:00,35,40,90
bd827999-c6dd-4159-b4eb-0051c6ef4aa3,1ddfa452-6c74-416d-ab05-cc04d69f9602,e188d079-1c1c-455e-b88f-0bb36814c918,2026-06-13T19:29:45.556712+00:00,2026-05-23T10:29:43.312+00:00,18,40,71
860033e7-0074-498f-bdb2-3c0c3ec8be61,7352afb2-70b6-4bfe-87d8-b4106560a61c,e188d079-1c1c-455e-b88f-0bb36814c918,2026-06-13T19:29:45.556712+00:00,2026-05-24T05:59:43.312+00:00,27,40,88
b69c52eb-787a-42d5-b868-21f3480cc166,ea611552-ce0a-4b00-adb1-e0f1056b4122,6f8e4fe6-5364-40e1-86cf-70e57cf9b635,2026-06-13T19:29:45.556712+00:00,2026-06-13T07:59:43.297+00:00,16,40,56
47080aa6-2b56-4676-ae17-c1d6e65c2677,062a1d16-33e5-4d19-94df-d1b1881742fa,cac5bc1f-127e-49d0-afeb-217711aa588d,2026-06-13T19:29:45.556712+00:00,2026-05-19T11:29:43.307+00:00,5,40,30
a6539e77-7fbd-48ef-8981-51c0bd5ed639,758fc3a8-6b29-49d0-ada3-cb33d975f0b3,cac5bc1f-127e-49d0-afeb-217711aa588d,2026-06-13T19:29:45.556712+00:00,2026-05-28T04:29:43.307+00:00,15,40,50
4e829e5d-480b-4f88-a111-e35d1e6c2058,7b4302fb-db1d-49aa-911d-ba06d94f62b4,cac5bc1f-127e-49d0-afeb-217711aa588d,2026-06-13T19:29:45.556712+00:00,2026-05-29T11:29:43.307+00:00,10,40,40
c05a31c7-244c-436e-bd4a-0cfae0f5a91e,b09249b7-c33e-4919-bcb2-ed70a3f2dd75,61f9815f-8c96-47b1-b881-bb2a5177ff02,2026-06-13T19:29:45.556712+00:00,2026-05-21T05:59:43.31+00:00,6,40,33
6fd77c7a-cfcf-4645-a7ab-e931d2bc3b6c,a59e7307-59fa-4682-8285-e61c0947b570,61f9815f-8c96-47b1-b881-bb2a5177ff02,2026-06-13T19:29:45.556712+00:00,2026-05-28T08:29:43.31+00:00,10,40,40
c4415c9f-4539-4162-8e84-4c217bbda585,6141d1f4-dc2e-4220-bf36-2766f2229e19,46cd07c1-a1c0-4fef-a788-03b02fc01360,2026-06-13T19:29:45.556712+00:00,2026-05-19T08:59:43.315+00:00,21,40,67
b4edbf90-b28f-4390-900e-6a104c50959c,e4ef28b5-2c0e-47c4-b86d-dd21ae19e094,46cd07c1-a1c0-4fef-a788-03b02fc01360,2026-06-13T19:29:45.556712+00:00,2026-05-25T08:29:43.315+00:00,16,40,56
f0c4874d-7550-48e6-aee5-1504c01c0ce0,1f0e5b6e-ab89-46d5-af5b-bf446c907e21,46cd07c1-a1c0-4fef-a788-03b02fc01360,2026-06-13T19:29:45.556712+00:00,2026-05-26T10:29:43.315+00:00,31,40,89
dc433884-0776-4bda-a0b7-fe835f09c0ee,bb7d854b-ef0a-4eab-870a-7406c0ac2383,46cd07c1-a1c0-4fef-a788-03b02fc01360,2026-06-13T19:29:45.556712+00:00,2026-06-07T04:29:43.315+00:00,40,40,100
a7e85f68-92bd-4bd7-a2af-50d6de92cec2,5131996b-9a04-467a-832b-3aa84c0fddd4,46cd07c1-a1c0-4fef-a788-03b02fc01360,2026-06-13T19:29:45.556712+00:00,2026-06-07T09:59:43.315+00:00,40,40,100
82120451-b85d-4d6f-8df9-7436f93567af,83550f19-1fb4-456a-a65c-12911a40c9f9,46cd07c1-a1c0-4fef-a788-03b02fc01360,2026-06-13T19:29:45.556712+00:00,2026-06-12T07:59:43.315+00:00,40,40,100
