subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,Ray Optics and Optical Instruments,Laws of Reflection,Easy,45,"According to the laws of reflection, the angle of incidence is:",Always greater than the angle of reflection,Always less than the angle of reflection,Equal to the angle of reflection,Equal to 90 degrees minus the angle of reflection,C
Physics,Ray Optics and Optical Instruments,Image in Plane Mirror,Easy,45,The image formed by a plane mirror is:,Real and inverted,"Virtual, erect, and of the same size as the object",Real and magnified,Virtual and diminished,B
Physics,Ray Optics and Optical Instruments,Concave Mirror Object at Infinity,Easy,50,"For an object placed at infinity in front of a concave mirror, the image is formed:",At the pole,"At the focus, real and inverted",At the center of curvature,"At infinity, virtual and erect",B
Physics,Ray Optics and Optical Instruments,Convex Mirror Image Nature,Easy,50,A convex mirror always forms an image that is:,"Real, inverted, and magnified","Virtual, erect, and diminished","Real, erect, and same size","Virtual, inverted, and magnified",B
Physics,Ray Optics and Optical Instruments,Mirror Formula,Easy,45,"The mirror formula relating object distance (u), image distance (v), and focal length (f) is:",1/v + 1/u = 1/f,1/v - 1/u = 1/f,v + u = f,v * u = f,A
Physics,Ray Optics and Optical Instruments,Magnification Formula for Mirrors,Easy,45,The linear magnification produced by a spherical mirror is given by:,m = f / u,m = -v / u,m = u / v,m = v + u,B
Physics,Ray Optics and Optical Instruments,Focal Length and Radius of Curvature,Easy,45,The focal length (f) of a spherical mirror is related to its radius of curvature (R) by:,f = R,f = 2R,f = R/2,f = R^2,C
Physics,Ray Optics and Optical Instruments,Snell's Law,Easy,50,"Snell's law of refraction states that for a given pair of media, the ratio of the sine of the angle of incidence to the sine of the angle of refraction is:",Always equal to 1,A constant called the refractive index,Always equal to 90 degrees,Equal to the wavelength ratio only,B
Physics,Ray Optics and Optical Instruments,Refractive Index Definition,Easy,50,The refractive index of a medium with respect to vacuum is defined as the ratio of:,The speed of light in the medium to the speed of light in vacuum,The speed of light in vacuum to the speed of light in the medium,The wavelength in vacuum to the wavelength in the medium,The frequency in the medium to the frequency in vacuum,B
Physics,Ray Optics and Optical Instruments,Total Internal Reflection Condition,Easy,50,Total internal reflection occurs when light travels:,From a rarer to a denser medium at any angle,From a denser to a rarer medium at an angle of incidence greater than the critical angle,Through a vacuum,Perpendicular to the interface between two media,B
Physics,Ray Optics and Optical Instruments,Critical Angle Definition,Easy,50,The critical angle is the angle of incidence in the denser medium for which the angle of refraction in the rarer medium is:,0 degrees,45 degrees,90 degrees,180 degrees,C
Physics,Ray Optics and Optical Instruments,Convex Lens Converging Nature,Easy,50,"A convex (converging) lens, when a parallel beam of light is incident on it, causes the rays to:",Diverge after passing through,Converge to a point called the focus,Remain parallel after passing through,Reflect back without refraction,B
Physics,Ray Optics and Optical Instruments,Concave Lens Diverging Nature,Easy,50,A concave (diverging) lens always forms a:,Real image,"Virtual, erect, and diminished image for a real object","Real, inverted, and magnified image",Image at the center of curvature,B
Physics,Ray Optics and Optical Instruments,Lens Formula,Easy,45,"The lens formula relating object distance (u), image distance (v), and focal length (f) is:",1/v - 1/u = 1/f,1/v + 1/u = 1/f,v - u = f,v * u = f,A
Physics,Ray Optics and Optical Instruments,Power of a Lens,Easy,45,The power of a lens is defined as:,"P = f, where f is in meters","P = 1/f, where f is in meters (giving power in diopters)",P = f^2,P = 1/f^2,B
Physics,Ray Optics and Optical Instruments,Unit of Power of Lens,Easy,40,The SI unit of power of a lens is the:,Watt,Diopter,Joule,Candela,B
Physics,Ray Optics and Optical Instruments,Sign Convention Convex Lens Focal Length,Easy,50,"According to the standard Cartesian sign convention used in optics, the focal length of a convex (converging) lens is taken as:",Positive,Negative,Zero,"Either positive or negative, depending on the object position",A
Physics,Ray Optics and Optical Instruments,Sign Convention Concave Lens Focal Length,Easy,50,"According to the standard Cartesian sign convention, the focal length of a concave (diverging) lens is taken as:",Positive,Negative,Zero,Infinite,B
Physics,Ray Optics and Optical Instruments,Dispersion of Light,Easy,45,The splitting of white light into its constituent colors when passed through a prism is called:,Reflection,Diffraction,Dispersion,Polarization,C
Physics,Ray Optics and Optical Instruments,Prism and Color Bending,Easy,50,"When white light passes through a glass prism, which color bends the most (deviates the most from its original path)?",Red,Violet,Green,Yellow,B
Physics,Ray Optics and Optical Instruments,Myopia Correction,Easy,50,A person suffering from myopia (short-sightedness / near-sightedness) can be corrected using:,A concave lens,A convex lens,A plane mirror,A cylindrical lens only,A
Physics,Ray Optics and Optical Instruments,Hypermetropia Correction,Easy,50,A person suffering from hypermetropia (long-sightedness / far-sightedness) can be corrected using:,A concave lens,A convex lens,A plane mirror,No correction is possible,B
Physics,Ray Optics and Optical Instruments,Simple Microscope,Easy,50,A simple microscope is essentially:,A combination of two convex lenses,A single convex lens of short focal length used to view magnified images of nearby objects,A concave mirror used alone,A prism combination,B
Physics,Ray Optics and Optical Instruments,Compound Microscope Lens Names,Easy,50,"In a compound microscope, the lens closer to the object being viewed is called the:",Eyepiece (ocular lens),Objective lens,Field lens,Condenser lens,B
Physics,Ray Optics and Optical Instruments,Astronomical Telescope Purpose,Easy,50,An astronomical telescope is primarily used to:,Magnify nearby small objects,Increase the apparent size (angular size) of distant celestial objects,Disperse white light into colors,Measure the speed of light,B
Physics,Ray Optics and Optical Instruments,Refraction Through Glass Slab,Easy,50,"When light passes through a rectangular glass slab with parallel faces, the emergent ray is:",Perpendicular to the incident ray,Parallel to the incident ray but laterally displaced,Always totally internally reflected,Completely absorbed,B
Physics,Ray Optics and Optical Instruments,Optical Fiber Principle,Easy,45,Optical fibers transmit light signals over long distances based on the principle of:,Diffraction,Total internal reflection,Polarization,Dispersion,B
Physics,Ray Optics and Optical Instruments,Real vs Virtual Image,Easy,50,A real image is one that:,"Can be obtained on a screen, formed by actually converging light rays","Cannot be obtained on a screen and is formed by diverging rays appearing to meet",Is always smaller than the object,Is always erect,A
Physics,Ray Optics and Optical Instruments,Mirror That Always Forms Virtual Image,Easy,55,"Among plane mirrors, concave mirrors, and convex mirrors, which mirror ALWAYS forms a virtual image of a real object, regardless of object distance?",Concave mirror only,Plane mirror and convex mirror,Concave mirror and convex mirror,"None; all mirrors can form real images",B
Physics,Ray Optics and Optical Instruments,Apparent Depth and Refraction,Easy,50,"When an object in water is viewed from air (looking nearly perpendicular to the surface), it appears:",Deeper than its actual depth,"Shallower than its actual depth, due to refraction",At exactly the same depth,Invisible,B
Physics,Ray Optics and Optical Instruments,Refractive Index and Speed of Light,Easy,50,"A medium with a higher refractive index, compared to a medium with a lower refractive index, has light traveling through it at a:",Higher speed,Lower speed,The same speed,Speed independent of refractive index,B
Physics,Ray Optics and Optical Instruments,Combination of Lenses Power Addition,Easy,50,"When two thin lenses are placed in contact (coaxially), the power of the combination is:",The product of the individual powers,The sum of the individual powers,The difference of the individual powers,The average of the individual powers,B
Physics,Ray Optics and Optical Instruments,Magnifying Power of Simple Microscope,Easy,50,"To increase the magnifying power of a simple microscope (a single convex lens), one should use a lens with:",A larger focal length,A smaller focal length,A focal length equal to infinity,Focal length has no effect on magnifying power,B
Physics,Ray Optics and Optical Instruments,Mirage Phenomenon,Easy,50,"A mirage, often observed on hot roads, is caused by:",Reflection of light from water droplets,Total internal reflection and refraction of light due to layers of air at different temperatures and densities,Diffraction of sunlight,Polarization of light by the road surface,B
Physics,Ray Optics and Optical Instruments,Real Image Formation by Convex Lens,Easy,50,"A convex lens forms a real, inverted image of an object when the object is placed:",Between the lens and its focus (at a distance less than f),At a distance greater than the focal length from the lens,Exactly at the optical center,Never; convex lenses only form virtual images,B
Physics,Ray Optics and Optical Instruments,Resolving Power Basic Idea,Easy,50,The resolving power of an optical instrument refers to its ability to:,Increase the brightness of an image,Distinguish between two closely spaced objects as separate,Change the color of light,Increase the speed of light,B
Physics,Ray Optics and Optical Instruments,Mirror Formula Calculation,Medium,90,An object is placed 30 cm in front of a concave mirror of focal length 10 cm. The image distance is:,-15 cm,-7.5 cm,-45 cm,15 cm,A
Physics,Ray Optics and Optical Instruments,Magnification Calculation Concave Mirror,Medium,90,"For the situation in the previous question (u = -30 cm, v = -15 cm), the magnification of the image is:",+0.5,-0.5,+2,-2,B
Physics,Ray Optics and Optical Instruments,Lens Formula Calculation,Medium,90,An object is placed 20 cm in front of a convex lens of focal length 10 cm. The image distance is:,10 cm,20 cm,-20 cm,5 cm,B
Physics,Ray Optics and Optical Instruments,Magnification Calculation Convex Lens,Medium,90,"For the situation in the previous question (u = -20 cm, v = 20 cm), the magnification of the image is:",-1,+1,-2,+2,A
Physics,Ray Optics and Optical Instruments,Power of Lens Calculation,Medium,75,A convex lens has a focal length of 25 cm. Its power is:,0.25 D,4 D,25 D,0.04 D,B
Physics,Ray Optics and Optical Instruments,Refractive Index Calculation,Medium,75,The speed of light in a medium is 2 * 10^8 m/s. The refractive index of the medium is (c = 3 * 10^8 m/s):,0.67,1.5,2.0,3.0,B
Physics,Ray Optics and Optical Instruments,Critical Angle Calculation,Medium,90,A medium has a refractive index of 1.5 with respect to air. The critical angle for total internal reflection (from medium to air) is approximately:,30 degrees,41.8 degrees,60 degrees,90 degrees,B
Physics,Ray Optics and Optical Instruments,Combination of Lenses Power Calculation,Medium,75,Two thin lenses of powers +5 D and -2 D are placed in contact. The power of the combination is:,3 D,7 D,-3 D,-7 D,A
Physics,Ray Optics and Optical Instruments,Combination of Lenses Focal Length,Medium,90,"For the lens combination in the previous question (combined power = 3 D), the focal length of the combination is:",0.33 m (33.3 cm),3 m,0.03 m,30 m,A
Physics,Ray Optics and Optical Instruments,Focal Length from Radius of Curvature,Medium,75,A concave mirror has a radius of curvature of 40 cm. Its focal length is:,10 cm,20 cm,40 cm,80 cm,B
Physics,Ray Optics and Optical Instruments,Image Distance for Object at Focus,Medium,75,"When an object is placed exactly at the focal point of a convex lens, the image is formed:",At the focus on the same side,At infinity,At twice the focal length,At the optical center,B
Physics,Ray Optics and Optical Instruments,Object at Center of Curvature Concave Mirror,Medium,90,"When an object is placed at the center of curvature of a concave mirror, the image formed is:","Virtual, erect, and magnified","Real, inverted, and the same size as the object, located at the center of curvature","Real, erect, and diminished",At infinity,B
Physics,Ray Optics and Optical Instruments,Refraction Bending Towards Normal,Medium,75,"When light travels from air into glass (a denser medium), the light ray bends:",Away from the normal,Towards the normal,Does not bend at all,Becomes parallel to the surface,B
Physics,Ray Optics and Optical Instruments,Apparent Depth Calculation,Medium,90,"A coin is at the bottom of a tank filled with water (refractive index 4/3) to a depth of 12 cm. The apparent depth of the coin, when viewed from directly above, is approximately:",9 cm,12 cm,16 cm,4 cm,A
