subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Chemistry,Polymers,Condensation polymers,Easy,40,Caprolactam is used for the manufacture of:,Terylene,"Nylon-6,6",Nylon-6,Teflon,C
Chemistry,Some Basic Concepts of Chemistry,Mole concept,Easy,45,The number of water molecules is maximum in:,18 gram of water,18 moles of water,18 molecules of water,1.8 gram of water,B
Chemistry,The Solid State,Packing efficiency in bcc,Medium,60,The vacant space in a bcc lattice unit cell is:,23%,32%,26%,48%,B
Chemistry,Coordination Compounds,IUPAC nomenclature of complexes,Medium,50,The IUPAC name of the complex ion [Fe(CN)6]3- is:,Tricyanoferrate (III) ion,Hexacyanidoferrate (III) ion,Hexacyanoiron (III) ion,Hexacyanitoferrate (III) ion,B
Chemistry,States of Matter,Real gas behaviour,Easy,45,A gas such as carbon monoxide would be most likely to obey the ideal gas law at:,High temperatures and high pressures,Low temperatures and low pressures,High temperatures and low pressures,Low temperatures and high pressures,C
Chemistry,Coordination Compounds,Hybridisation in complexes,Medium,60,The hybridization involved in the complex [Ni(CN)4]2- is (atomic number of Ni = 28):,d2sp2,d2sp3,dsp2,sp3,C
Chemistry,Solutions,Mole fraction and molality,Medium,90,What is the mole fraction of the solute in a 1.00 molal aqueous solution?,0.0354,0.0177,0.177,1.770,B
Chemistry,Haloalkanes and Haloarenes,SN1 reaction stereochemistry,Medium,60,In an SN1 reaction on a chiral centre there is:,100% retention,100% inversion,100% racemization,Inversion more than retention leading to partial racemization,D
Chemistry,Chemical Kinetics,Zero order reaction,Medium,90,The rate constant of the reaction A -> B is 0.6 x 10^-3 mol per second. If the concentration of A is 5 M then the concentration of B after 20 minutes is:,0.36 M,0.72 M,1.08 M,3.60 M,B
Chemistry,Structure of Atom,Order of orbital energy,Easy,45,Which is the correct order of increasing energy of the listed orbitals in the atom of titanium (Z = 22)?,3s 3p 3d 4s,3s 3p 4s 3d,3s 4s 3p 3d,4s 3s 3p 3d,B
Biology,Cell: The Unit of Life,Prokaryotic cell structure,Easy,40,Which of the following structures is not found in prokaryotic cells?,Plasma membrane,Nuclear envelope,Ribosome,Mesosome,B
Biology,Body Fluids and Circulation,Double circulation,Medium,50,Which one of the following animals has two separate circulatory pathways?,Shark,Frog,Lizard,Whale,D
Biology,Principles of Inheritance and Variation,Linkage,Easy,30,The term linkage was coined by:,W. Sutton,T.H. Morgan,T. Boveri,G. Mendel,B
Biology,Biomolecules,Phosphodiester bond,Easy,40,Which of the following biomolecules has a phosphodiester bond?,Nucleic acids in a nucleotide,Fatty acids in a diglyceride,Monosaccharides in a polysaccharide,Amino acids in a polypeptide,A
Biology,Biotechnology - Principles and Processes,Cloning vectors,Easy,40,The DNA molecule to which the gene of interest is integrated for cloning is called a:,Carrier,Transformer,Vector,Template,C
Biology,Digestion and Absorption,Intestinal juice enzymes,Medium,50,The enzyme that is not present in succus entericus is:,Lipase,Maltase,Nucleases,Nucleosidase,C
Biology,Biotechnology and its Applications,Golden rice,Easy,30,Golden rice is a genetically modified crop in which the incorporated gene is meant for biosynthesis of:,Vitamin A,Vitamin B,Vitamin C,Omega 3,A
