subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,Alternating Current,AC Definition,Easy,45,"An alternating current is one whose magnitude:",Remains constant with time,"Changes periodically with time, both in magnitude and direction",Always increases with time,Is always zero,B
Physics,Alternating Current,RMS Value Definition,Easy,50,"The root mean square (rms) value of an alternating current is defined as the value of:",The maximum current during a cycle,The average current over half a cycle,Steady direct current that would produce the same heating effect in a resistor as the AC over one cycle,The current at t = 0,C
Physics,Alternating Current,RMS and Peak Relation,Easy,45,"For a sinusoidal AC, the relation between the rms value (I_rms) and the peak value (I_0) of current is:",I_rms = I_0,I_rms = I_0 / sqrt(2),I_rms = I_0 * sqrt(2),I_rms = 2 * I_0,B
Physics,Alternating Current,Average Value Over a Cycle,Easy,45,The average value of a sinusoidal alternating current over one complete cycle is:,Equal to its rms value,Equal to its peak value,Zero,Equal to half the peak value,C
Physics,Alternating Current,Capacitive Reactance Formula,Easy,45,"The capacitive reactance Xc of a capacitor of capacitance C in an AC circuit of angular frequency omega is given by:",Xc = omega C,Xc = 1/(omega C),Xc = omega / C,Xc = C / omega,B
Physics,Alternating Current,Inductive Reactance Formula,Easy,45,"The inductive reactance XL of an inductor of inductance L in an AC circuit of angular frequency omega is given by:",XL = omega L,XL = 1/(omega L),XL = L / omega,XL = omega / L,A
Physics,Alternating Current,Phase Relation Pure Resistor,Easy,45,"In a purely resistive AC circuit, the phase difference between the voltage and the current is:",90 degrees,180 degrees,Zero,45 degrees,C
Physics,Alternating Current,Phase Relation Pure Inductor,Easy,45,"In a purely inductive AC circuit, the current:",Leads the voltage by 90 degrees,Lags the voltage by 90 degrees,Is in phase with the voltage,Lags the voltage by 180 degrees,B
Physics,Alternating Current,Phase Relation Pure Capacitor,Easy,45,"In a purely capacitive AC circuit, the current:",Lags the voltage by 90 degrees,Leads the voltage by 90 degrees,Is in phase with the voltage,Leads the voltage by 180 degrees,B
Physics,Alternating Current,Impedance Definition,Easy,50,The impedance Z of an AC circuit is defined as the ratio of:,Peak voltage to peak current,RMS voltage to RMS current,Average power to rms current,Both peak-to-peak and rms-to-rms ratios give the same value,D
Physics,Alternating Current,Resonance Condition,Easy,45,"In a series LCR circuit, resonance occurs when:",XL = 0,XC = 0,XL = XC,R = 0,C
Physics,Alternating Current,Resonant Frequency Formula,Easy,45,The resonant angular frequency of a series LCR circuit is given by:,omega_0 = 1/(LC),omega_0 = 1/sqrt(LC),omega_0 = sqrt(LC),omega_0 = LC,B
Physics,Alternating Current,Power Factor Definition,Easy,45,The power factor of an AC circuit is defined as:,The ratio of apparent power to true power,The cosine of the phase angle between voltage and current,The ratio of resistance to inductance,The ratio of peak current to rms current,B
Physics,Alternating Current,Wattless Current,Easy,50,"In a purely inductive or purely capacitive AC circuit, the average power consumed over a complete cycle is zero. The current in such a circuit is called:",Direct current,Eddy current,Wattless or idle current,Displacement current,C
Physics,Alternating Current,Transformer Principle,Easy,40,A transformer works on the principle of:,Self-induction,Mutual induction,Electromagnetic wave propagation,Thermoelectricity,B
Physics,Alternating Current,Step-Up Transformer,Easy,45,In a step-up transformer:,The number of turns in the secondary coil is less than in the primary coil,The number of turns in the secondary coil is greater than in the primary coil,The number of turns in both coils is equal,The output voltage is always equal to the input voltage,B
Physics,Alternating Current,Ideal Transformer Power Relation,Easy,45,"For an ideal transformer (100% efficient), the relationship between input power and output power is:",Input power is always greater than output power,Input power is always less than output power,Input power equals output power,There is no relationship; they are independent,C
Physics,Alternating Current,AC Frequency in India,Easy,40,The standard frequency of AC supply used in household electricity in India is:,25 Hz,50 Hz,60 Hz,100 Hz,B
Physics,Alternating Current,Choke Coil Purpose,Easy,55,"A choke coil is used in AC circuits (e.g., with fluorescent tubes) primarily to:",Increase the current without significant power loss,"Reduce the current with minimal power dissipation, since it has low resistance but high reactance",Convert AC to DC,Store electrical energy permanently,B
Physics,Alternating Current,LC Oscillations,Easy,50,"In an ideal LC circuit (no resistance) with a charged capacitor, the energy oscillates between:",The capacitor and the resistor,The capacitor's electric field and the inductor's magnetic field,Two capacitors,The circuit and the surroundings as heat,B
Physics,Alternating Current,Series LCR Impedance Formula,Easy,45,The impedance Z of a series LCR circuit is given by:,Z = R + XL + XC,Z = sqrt(R^2 + (XL - XC)^2),Z = sqrt(R^2 + (XL + XC)^2),Z = R^2 + (XL-XC)^2,B
Physics,Alternating Current,Average Power Formula,Easy,50,The average power consumed in an AC circuit is given by:,P = I_rms * V_rms,"P = I_rms * V_rms * cos(phi), where phi is the phase difference between voltage and current",P = I_0 * V_0,P = I_rms^2 * V_rms^2,B
Physics,Alternating Current,AC Voltage Equation,Easy,45,"An alternating voltage is represented as V = V_0 sin(omega t). Here, V_0 represents the:",RMS value of the voltage,Average value of the voltage,Peak (maximum) value of the voltage,Instantaneous value at t = 0,C
Physics,Alternating Current,Quality Factor Significance,Easy,50,The quality factor (Q-factor) of a series LCR circuit at resonance is a measure of:,The average power dissipated,The sharpness of the resonance,The peak voltage in the circuit,The total resistance of the circuit,B
Physics,Alternating Current,AC Meter Readings,Easy,50,AC ammeters and voltmeters are typically designed to read which value of the alternating quantity?,Peak value,Average value over a cycle,RMS value,Instantaneous value at the moment of reading,C
Physics,Alternating Current,Impedance at Resonance,Easy,50,"At resonance in a series LCR circuit, the impedance of the circuit becomes:",Zero,Equal to R (its minimum value),Equal to XL + XC (its maximum value),Infinite,B
Physics,Alternating Current,Capacitor in DC Steady State,Easy,50,"A capacitor connected to a DC source, after a long time (steady state), behaves like:",A short circuit (zero resistance),"An open circuit (infinite resistance), blocking the current",A pure resistor,An inductor,B
Physics,Alternating Current,Inductor in DC Steady State,Easy,50,"An ideal inductor (zero resistance) connected to a DC source, after a long time (steady state), behaves like:",An open circuit,"A short circuit (zero resistance), offering no opposition to steady current",A capacitor,A high resistance,B
Physics,Alternating Current,Phase Difference and Power,Easy,50,"If the voltage and current in an AC circuit are out of phase by 90 degrees, the average power consumed is:",Maximum,Zero,Equal to V_rms multiplied by I_rms,Half of V_rms multiplied by I_rms,B
Physics,Alternating Current,Transformer Energy Losses,Easy,55,Which of the following is NOT a typical source of energy loss in a real transformer?,Resistance of the windings (copper loss),Eddy currents in the core,Hysteresis loss in the core,Gravitational potential energy loss,D
Physics,Alternating Current,Rectifier Purpose,Easy,40,A rectifier circuit is used to convert:,DC to AC,AC to DC,Low frequency AC to high frequency AC,High voltage to low voltage only,B
Physics,Alternating Current,Reactance vs Resistance,Easy,50,"Unlike resistance, the reactance of a pure inductor or capacitor in an AC circuit:",Does not depend on the frequency of the AC supply,Depends on the frequency of the AC supply,Is always zero,"Causes energy dissipation as heat, just like resistance",B
Physics,Alternating Current,Power Factor of Pure Resistor,Easy,45,"For a circuit containing only a resistor connected to an AC source, the power factor is:",0,0.5,1,Cannot be determined,C
Physics,Alternating Current,Capacitive Reactance and Frequency,Easy,45,"As the frequency of an AC supply increases, the capacitive reactance of a capacitor:",Increases,Decreases,Remains constant,Becomes infinite,B
Physics,Alternating Current,Inductive Reactance and Frequency,Easy,45,"As the frequency of an AC supply increases, the inductive reactance of an inductor:",Increases,Decreases,Remains constant,Becomes zero,A
Physics,Alternating Current,Diode in Rectification,Easy,45,A semiconductor diode is commonly used in rectifier circuits because it:,Allows current to flow easily in both directions,Allows current to flow easily in one direction only,Blocks current in both directions,Acts as a perfect insulator at all voltages,B
Physics,Alternating Current,RMS Value Calculation,Medium,60,An alternating current has a peak value of 10 A. Its rms value is approximately:,5 A,7.07 A,10 A,14.14 A,B
Physics,Alternating Current,Capacitive Reactance Calculation,Medium,75,A capacitor of capacitance 100 microfarad is connected to an AC source of angular frequency 100 rad/s. Its capacitive reactance is:,0.01 ohm,1 ohm,100 ohm,10000 ohm,C
Physics,Alternating Current,Inductive Reactance Calculation,Medium,75,An inductor of inductance 0.5 H is connected to an AC source of angular frequency 200 rad/s. Its inductive reactance is:,0.4 ohm,100 ohm,400 ohm,1000 ohm,B
Physics,Alternating Current,Series LCR Impedance Calculation,Medium,90,"A series LCR circuit has R = 30 ohm, XL = 70 ohm, and XC = 30 ohm. The impedance of the circuit is:",30 ohm,40 ohm,50 ohm,100 ohm,C
Physics,Alternating Current,Resonant Frequency Calculation,Medium,90,"For a series LCR circuit with L = 0.1 H and C = 10 microfarad, the resonant angular frequency is:",10 rad/s,100 rad/s,1000 rad/s,10000 rad/s,C
Physics,Alternating Current,Power Factor Calculation,Medium,75,"In a series LCR circuit, R = 40 ohm and the net reactance (XL - XC) = 30 ohm. The power factor of the circuit is:",0.5,0.6,0.8,1.0,C
Physics,Alternating Current,Average Power Calculation,Medium,75,"An AC circuit has rms voltage 220 V, rms current 2 A, and a power factor of 0.5. The average power consumed is:",110 W,220 W,440 W,880 W,B
Physics,Alternating Current,Transformer Voltage Calculation,Medium,75,"A transformer has 500 turns in the primary coil and 2000 turns in the secondary coil. If the primary voltage is 220 V, the secondary voltage is, assuming an ideal transformer:",55 V,220 V,440 V,880 V,D
Physics,Alternating Current,Transformer Current Calculation,Medium,75,"For the transformer above (primary to secondary turns ratio 500:2000), if the primary current is 8 A, the secondary current, assuming no losses, is:",0.5 A,2 A,8 A,32 A,B
Physics,Alternating Current,RMS Value from Equation,Medium,75,"An alternating current is given by I = 5 sin(100*pi*t) amperes. Its rms value is:",1.77 A,3.54 A,5 A,7.07 A,B
Physics,Alternating Current,Frequency from Angular Frequency,Medium,60,"An AC voltage is given by V = 200 sin(100*pi*t). The frequency of this AC supply is:",25 Hz,50 Hz,100 Hz,200 Hz,B
Physics,Alternating Current,Capacitive Circuit Current,Medium,60,A capacitor of reactance 50 ohm is connected to an AC source of rms voltage 100 V. The rms current through the capacitor is:,0.5 A,2 A,50 A,5000 A,B
Physics,Alternating Current,Energy in LC Circuit,Medium,75,"In an LC oscillation circuit, when the capacitor is fully charged (maximum charge) and the current in the inductor is zero, the energy in the circuit is:",Entirely stored in the inductor's magnetic field,Entirely stored in the capacitor's electric field,Equally divided between the capacitor and the inductor,"Zero, since the current is zero",B
Physics,Alternating Current,Phase Angle Calculation,Medium,75,"In a series LCR circuit, R = 1 ohm and the net reactance (XL - XC) = 1 ohm. The phase angle between the current and the applied voltage is:",0 degrees,30 degrees,45 degrees,90 degrees,C
Physics,Alternating Current,Impedance When XL Equals XC,Medium,75,"In a series LCR circuit at resonance, where XL = XC = 40 ohm, and R = 20 ohm, the impedance of the circuit is:",0 ohm,20 ohm,40 ohm,60 ohm,B
Physics,Alternating Current,Maximum Current at Resonance,Medium,75,"A series LCR circuit with R = 10 ohm is connected to an AC source of rms voltage 20 V. At resonance, the rms current in the circuit is:",0.5 A,1 A,2 A,4 A,C
Physics,Alternating Current,Time Period from Frequency,Medium,60,The time period of an AC supply with frequency 50 Hz is:,0.01 s,0.02 s,0.05 s,50 s,B
Physics,Alternating Current,Capacitive Reactance Near DC,Medium,75,"As the frequency of an AC source approaches zero (that is, approaching DC), the reactance of a capacitor:",Approaches zero,Approaches infinity,Remains constant,Becomes negative,B
Physics,Alternating Current,Inductive Reactance Near DC,Medium,75,"As the frequency of an AC source approaches zero (that is, approaching DC), the reactance of an inductor:",Approaches zero,Approaches infinity,Remains constant,Becomes negative,A
Physics,Alternating Current,Quality Factor from Bandwidth,Medium,90,A series LCR circuit has a resonant frequency of 1000 Hz and a bandwidth of 50 Hz. Its quality factor (Q) is:,0.05,5,20,50,C
Physics,Alternating Current,Apparent vs True Power,Medium,60,"The ""apparent power"" in an AC circuit (V_rms multiplied by I_rms) differs from the true (average) power by a factor of:",The resistance R,The reactance X,"The power factor, cos(phi)",The impedance Z,C
