subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Chemistry,The d- and f-Block Elements,The d- and f-Block Elements,,60,Gadolinium belongs of 4f series. Its atomic number is 64. Which of the following is the correct electronic configuration of gadolinium?,[Xe]4f 75d16s2,[Xe]4f 65d26s2,[Xe]4f 86d2,[Xe]4f 95s1,A
Chemistry,Organic Chemistry - Some Basic Principles and Techniques,Organic Chemistry - Some Basic Principles and Techniques,,60,The number of structural isomers possible from the molecular formula C3H9N is:,2,3,4,5 Chemistry,C
Chemistry,Equilibrium,Equilibrium,,60,"If the equilibrium constant for N2(g) + O2(g) ⇌ 2NO(g) is K, the equilibrium constant for 1 2 N2(g) + 1 2 O2(g) ⇌ NO(g) will be:",K,K2,K1 2,1 2 K,C
Chemistry,Equilibrium,Equilibrium,,60,Which one of the following pairs of solution is not an acidic buffer?,H2CO3 and Na2CO3,H3PO4 and Na3PO4,HClO4 and NaClO4,CH3COOH and CH3COONa,C
Chemistry,Equilibrium,Equilibrium,,60,Aqueous solution of which of the following compounds is the best conductor of electric current?,"Ammonia, NH3","Fructose, C6H12O6","Acetic acid, C2H4O2","Hydrochloric acid, HCl",D
Chemistry,Polymers,Polymers,,60,Caprolactum is used for the manufacture of:,Terylene,"Nylon-6,6",Nylon-6,Teflon,C
Chemistry,The s-Block Elements,The s-Block Elements,,60,On heating which of the following releases CO2 most easily?,MgCO3,CaCO3,K2CO3,Na2CO3,A
Chemistry,Classification of Elements and Periodicity,Classification of Elements and Periodicity,,60,Strong reducing behaviour of H3PO2 is due to:,High oxidation state of phosphorus,Presence of two –OH groups and one p – H bond,Presence of one –OH group and two p – H bonds,High electron gain enthalpy of phosphorus,C
Chemistry,Chemical Bonding and Molecular Structure,Chemical Bonding and Molecular Structure,,60,"Decreasing order of stability of O2, O2 −, O2 + and O2 2− is:",O2 > O2 + > O2 2− > O2 −,O2 − > O2 2− > O2 + > O2,O2 + > O2 > O2 − > O2 2−,O2 2− > O2 − > O2 > O2 +,C
Chemistry,The Solid State,The Solid State,,60,The vacant space in bcc lattice unit cell is:,23%,32%,26%,48%,B
Chemistry,The p-Block Elements,The p-Block Elements,,60,Which of the statements given below is incorrect?,ONF is isoelectronic with O2N−,OF2 is an oxide of fluorine,Cl2O7 is an anhydride of perchloric acid,O3 molecule is bent,B
Chemistry,Coordination Compounds,Coordination Compounds,,60,"The name of complex ion, [Fe(CN)6]3− is :",Tricyanoferrate (III) ion,Hexacyanidoferrate (III) ion,Hexacyanoiron (III) ion,Hexacyanitoferrate (III) ion,B
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,,60,"If Avogadro number NA, is changed from 6.022 × 1023 mol−1 to 6.022 × 1020 mol−1, this would change:",The ratio of chemical species to each other in a balanced equation.,The ratio of elements to each other in a compound.,The definition of mass in units of grams,The mass of one mole of carbon,D
Chemistry,States of Matter,States of Matter,,60,A gas such as carbon monoxide would be most likely to obey the ideal gas law at:,High temperatures and high pressures,Low temperatures and low pressures,High temperatures and low pressures,Low temperatures and high pressures,C
Chemistry,Thermodynamics,Thermodynamics,,60,The heat of combustion of carbon to CO2 is -393.5 kJ/mol. The heat released upon formation of 35.2 g of CO2 from carbon and oxygen gas is:,−630 kJ,−3.15 kJ,−315 kJ,+315 kJ,C
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,,60,20.0 g of a magnesium carbonate sample decomposes on heating to give carbon dioxide and 8.0 g magnesium oxide. What will be the percentage purity of magnesium carbonate in the sample? (Atomic weight: Mg = 24),60,84,75,96,B
Chemistry,Solutions,Solutions,,60,What is the mole fraction of the solute in a 1.00 m aqueous solution?,0.0354,0.0177,0.177,1.770,B
Chemistry,The Solid State,The Solid State,,60,The correct statement regarding defects in crystalline solids is :,Frenkel defect is a dislocation defect,Frenkel defect is found in halides of alkaline metals,Schottky defects have no effect on the density of crystalline solids,Frenkel defects decrease the density of crystalline solids,A
Chemistry,The p-Block Elements,The p-Block Elements,,60,"The stability of +1 oxidation state among Al, Ga, In and TI increases in the sequence:",TI < In < Ga < Al,In < TI < Ga < Al,Ga < In < Al < TI,Al < Ga < In < TI,D
Chemistry,Organic Chemistry - Some Basic Principles and Techniques,Organic Chemistry - Some Basic Principles and Techniques,,60,"Two possible stereo-structures of CH3CHOH ∙ COOH, which are optically active, are called:",Enantiomers,Mesomers,Diastereomers,Atropisomers,A
Chemistry,Coordination Compounds,Coordination Compounds,,60,The sum of coordination number and oxidation number of metal M in the complex [M(en)2(C2O4)]Cl (Where en is ethylenediamine) is:,7,8,9,6,C
Chemistry,Chemical Kinetics,Chemical Kinetics,,60,"The rate constant of the reaction A ⟶ B is 0.6 × 10−3 mole per second. If the concentration of A is 5M, then concentration of B after 20 minutes is:",0.36 M,0.72 M,1.08 M,3.60 M,B
Chemistry,Equilibrium,Equilibrium,,60,What is the pH of the resulting solution when equal volumes of 0.1 m NaOH and 0.01 M HCl are mixed?,7.0,1.04,12.65,2.0,C
Chemistry,The p-Block Elements,The p-Block Elements,,60,The variation of the boiling points of the hydrogen halides is in the order HF > HI > HBr > HCl. What explains the higher boiling point of hydrogen fluoride?,The bond energy of HF molecules is greater than in other hydrogen halides.,The effect of nuclear shielding is much reduced in fluorine which polarizes the HF molecule.,The electronegativity of fluorine is much higher than for other elements in the group.,There is strong hydrogen bonding between HF molecules.,D
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,,60,What is the mass of the precipitate formed when 50 mL of 16.9% solution of AgNO3 is mixed with 50 mL of 5.8% NaCl solution?,7 g,14 g,28 g,3.5 g,A
Chemistry,Haloalkanes and Haloarenes,Haloalkanes and Haloarenes,,60,Which of the following reaction(s) can be used for the preparation of alkyl halides? i. CH3CH2OH + HCl Anhyd.ZnCl2 → ii. CH3CH2OH + HCl ⟶ iii. (CH3)3COH + HCl ⟶ iv. (CH3)2CHOH + HCl Anhyd.ZnCl2 →,IV only,III and IV only,"I, III and IV only",I and II only,C
Chemistry,Structure of Atom,Structure of Atom,,60,Which is the correct order of increasing energy of the listed orbitals in the atom of titanium? (At. No. Z = 22),3s 3p 3d 4s,3s 3p 4s 3d,3s 4s 3p 3d,4s 3s 3p 3d,B
