subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Biology,Breathing and Exchange of Gases,Lungs,Easy,45,The primary organs of respiration in humans are the:,liver,kidneys,lungs,heart,C
Biology,Breathing and Exchange of Gases,Diaphragm,Easy,45,The muscular partition between the thorax and abdomen that assists in breathing is the:,larynx,diaphragm,trachea,pleura,B
Biology,Breathing and Exchange of Gases,Alveoli,Easy,45,The thin-walled sacs in the lungs where gas exchange occurs are the:,neurons,nephrons,villi,alveoli,D
Biology,Breathing and Exchange of Gases,Trachea,Easy,45,The tube that carries air from the throat toward the lungs is the:,aorta,trachea,oesophagus,urethra,B
Biology,Breathing and Exchange of Gases,Oxygen Transport,Medium,55,Oxygen is transported in the blood mainly by:,haemoglobin,plasma alone,platelets,white blood cells,A
Biology,Breathing and Exchange of Gases,Gas Exchange,Medium,55,The exchange of gases between the alveoli and the blood takes place by:,osmosis,filtration,diffusion,active transport,C
Biology,Breathing and Exchange of Gases,Carbon Dioxide Transport,Medium,55,Most of the carbon dioxide is transported in the blood in the form of:,solid crystals,dissolved gas only,particles bound to platelets,bicarbonate ions,D
Biology,Breathing and Exchange of Gases,Inspiration,Medium,55,"During inspiration (breathing in), the diaphragm:",relaxes and domes upward,dissolves,contracts and flattens,remains stationary,C
Biology,Breathing and Exchange of Gases,Respiratory Pigment,Hard,80,The respiratory pigment haemoglobin is contained within the:,platelets,red blood cells,plasma,white blood cells,B
Biology,Breathing and Exchange of Gases,Partial Pressure,Hard,80,The partial pressure of oxygen is highest in the:,right atrium,veins,alveoli,body tissues,C
Biology,Breathing and Exchange of Gases,Tissue Respiration,Hard,80,The exchange of gases between the blood and the body tissues is called:,breathing,internal respiration,external respiration,ventilation,B
Biology,Breathing and Exchange of Gases,Surface Area,Hard,80,The structures that provide a very large surface area for gaseous exchange in the lungs are the:,alveoli,glottis,bronchioles,bronchi,A
Biology,Body Fluids and Circulation,Blood,Easy,45,The fluid connective tissue that transports materials throughout the body is:,water,plasma alone,blood,lymph,C
Biology,Body Fluids and Circulation,Haemoglobin,Easy,45,The pigment that gives blood its red colour is:,bilirubin,chlorophyll,haemoglobin,melanin,C
Biology,Body Fluids and Circulation,Heart Chambers,Easy,45,The number of chambers in the human heart is:,1,3,4,2,C
Biology,Body Fluids and Circulation,Platelets,Easy,45,The blood cells that help in clotting are the:,plasma cells,white blood cells,red blood cells,platelets,D
Biology,Body Fluids and Circulation,Arteries,Medium,55,The blood vessels that carry blood away from the heart are the:,veins,capillaries,arteries,venules,C
