subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Chemistry,The d- and f-Block Elements,Electronic configuration of lanthanoids,Medium,60,"Gadolinium belongs to the 4f series and its atomic number is 64. Which is the correct electronic configuration of gadolinium?",[Xe]4f7 5d1 6s2,[Xe]4f6 5d2 6s2,[Xe]4f8 6d2,[Xe]4f9 5s1,A
Chemistry,Classification of Elements and Periodicity,Electron gain enthalpy,Medium,75,"The formation of the oxide ion O2-(g) from an oxygen atom is energetically unfavourable even though O2- is isoelectronic with neon. This is because:",Oxygen is more electronegative,Addition of an electron to oxygen gives a larger ion,Electron repulsion outweighs the stability gained by achieving a noble gas configuration,The O- ion has a smaller size than the oxygen atom,C
Chemistry,Amines,Structural isomers of amines,Medium,75,"The number of structural isomers possible for the molecular formula C3H9N is:",2,3,4,5,C
Chemistry,Equilibrium,Relation between equilibrium constants,Medium,60,"If the equilibrium constant for N2(g) + O2(g) <=> 2NO(g) is K, the equilibrium constant for (1/2)N2(g) + (1/2)O2(g) <=> NO(g) is:",K,K squared,square root of K,half of K,C
Chemistry,Equilibrium,Buffer solutions,Medium,60,"Which one of the following pairs of solutions is not an acidic buffer?",H2CO3 and Na2CO3,H3PO4 and Na3PO4,HClO4 and NaClO4,CH3COOH and CH3COONa,C
Chemistry,Equilibrium,Strong and weak electrolytes,Easy,40,"An aqueous solution of which of the following compounds is the best conductor of electric current?",Ammonia NH3,Fructose C6H12O6,Acetic acid C2H4O2,Hydrochloric acid HCl,D
Chemistry,The s-Block Elements,Thermal stability of carbonates,Medium,50,"On heating, which of the following releases CO2 most easily?",MgCO3,CaCO3,K2CO3,Na2CO3,A
Chemistry,The p-Block Elements,Oxoacids of phosphorus,Medium,60,"The strong reducing behaviour of H3PO2 is due to the:",High oxidation state of phosphorus,Presence of two -OH groups and one P-H bond,Presence of one -OH group and two P-H bonds,High electron gain enthalpy of phosphorus,C
Chemistry,Chemical Bonding and Molecular Structure,Bond order and stability,Medium,75,"The correct decreasing order of stability of O2, O2-, O2+ and O2(2-) is:",O2 > O2+ > O2(2-) > O2-,O2- > O2(2-) > O2+ > O2,O2+ > O2 > O2- > O2(2-),O2(2-) > O2- > O2 > O2+,C
Chemistry,Chemical Bonding and Molecular Structure,Isostructural species,Medium,60,"In which of the following pairs are both species NOT isostructural?",NH3 and PH3,XeF4 and XeO4,SiCl4 and PCl4+,Diamond and silicon carbide,B
Chemistry,Redox Reactions,Equivalent concept in redox titration,Hard,90,"Assuming complete ionization, the same number of moles of which compound requires the least amount of acidified KMnO4 for complete oxidation?",FeC2O4,Fe(NO2)2,FeSO4,FeSO3,C
Chemistry,Alcohols Phenols and Ethers,Reimer-Tiemann reaction,Medium,50,"The reaction of phenol with chloroform in the presence of dilute sodium hydroxide finally introduces which functional group?",-CHCl2,-CHO,-CH2Cl,-COOH,B
Chemistry,The p-Block Elements,Oxides and oxoacids,Medium,60,"Which of the following statements is incorrect?",ONF is isoelectronic with O2N-,OF2 is an oxide of fluorine,Cl2O7 is the anhydride of perchloric acid,The O3 molecule is bent,B
Chemistry,Some Basic Concepts of Chemistry,Avogadro number and mole,Medium,75,"If the Avogadro number is changed from 6.022 x 10^23 per mole to 6.022 x 10^20 per mole, this would change:",The ratio of chemical species in a balanced equation,The ratio of elements to each other in a compound,The definition of mass in units of grams,The mass of one mole of carbon,D
Chemistry,Organic Chemistry - Some Basic Principles and Techniques,Nucleophiles and electrophiles,Easy,45,"Which of the following statements is NOT correct for a nucleophile?",Nucleophiles attack low electron density sites,Nucleophiles are not electron seeking,A nucleophile is a Lewis acid,Ammonia is a nucleophile,C
Chemistry,Thermodynamics,Enthalpy of combustion,Medium,90,"The heat of combustion of carbon to CO2 is -393.5 kJ/mol. The heat released on the formation of 35.2 g of CO2 from carbon and oxygen gas is:",-630 kJ,-3.15 kJ,-315 kJ,+315 kJ,C
Chemistry,Some Basic Concepts of Chemistry,Percentage purity calculation,Hard,120,"20.0 g of a magnesium carbonate sample decomposes on heating to give CO2 and 8.0 g of magnesium oxide. The percentage purity of magnesium carbonate is (atomic weight Mg = 24):",60,84,75,96,B
Chemistry,The Solid State,Crystal defects,Medium,60,"The correct statement regarding defects in crystalline solids is:",Frenkel defect is a dislocation defect,Frenkel defect is found in halides of alkaline metals,Schottky defects have no effect on the density of crystalline solids,Frenkel defects decrease the density of crystalline solids,A
Chemistry,The p-Block Elements,Inert pair effect,Medium,60,"The stability of the +1 oxidation state among Al, Ga, In and Tl increases in the sequence:",Tl < In < Ga < Al,In < Tl < Ga < Al,Ga < In < Al < Tl,Al < Ga < In < Tl,D
Chemistry,Organic Chemistry - Some Basic Principles and Techniques,Optical isomerism,Easy,40,"The two optically active stereo-structures of CH3-CHOH-COOH are called:",Enantiomers,Mesomers,Diastereomers,Atropisomers,A
Chemistry,Coordination Compounds,Coordination and oxidation number,Medium,75,"The sum of the coordination number and the oxidation number of the metal M in the complex [M(en)2(C2O4)]Cl (en = ethylenediamine) is:",7,8,9,6,C
Chemistry,Aldehydes Ketones and Carboxylic Acids,Addition-elimination reactions,Medium,60,"The reaction of a carbonyl compound with which reagent involves nucleophilic addition followed by elimination of water?",Hydrocyanic acid,Sodium hydrogen sulphite,A Grignard reagent,Hydrazine in a feebly acidic solution,D
Chemistry,Equilibrium,pH of mixtures,Medium,90,"What is the pH of the resulting solution when equal volumes of 0.1 M NaOH and 0.01 M HCl are mixed?",7.0,1.04,12.65,2.0,C
Chemistry,Coordination Compounds,Isomerism in complexes,Medium,75,"The number of possible isomers for the complex [Co(en)2Cl2]Cl (en = ethylenediamine) is:",3,4,2,1,A
Chemistry,The p-Block Elements,Hydrogen bonding in hydrogen halides,Medium,60,"The boiling points of hydrogen halides follow the order HF > HI > HBr > HCl. The high boiling point of HF is due to:",Bond energy of HF being greater than other hydrogen halides,Reduced nuclear shielding in fluorine polarizing HF,The much higher electronegativity of fluorine,Strong hydrogen bonding between HF molecules,D
Chemistry,Some Basic Concepts of Chemistry,Stoichiometry of precipitation,Hard,120,"What is the mass of the precipitate formed when 50 mL of a 16.9% AgNO3 solution is mixed with 50 mL of a 5.8% NaCl solution?",7 g,14 g,28 g,3.5 g,A
Chemistry,Hydrocarbons,Oxidation of aromatic compounds,Medium,50,"The oxidation of benzene by V2O5 in the presence of air produces:",Benzoic acid,Benzaldehyde,Benzoic anhydride,Maleic anhydride,D
Chemistry,Amines,Preparation of aniline,Medium,75,"Aniline CANNOT be prepared by which of the following methods?",Reduction of nitrobenzene with H2/Pd in ethanol,Treating potassium phthalimide with chlorobenzene then hydrolysis with aqueous NaOH,Hydrolysis of phenyl isocyanide with an acidic solution,Degradation of benzamide with bromine in alkaline solution,B
Biology,Transport in Plants,Root pressure,Medium,50,"Root pressure develops mainly because of:",Increase in transpiration,Active absorption,Low osmotic potential in soil,Passive absorption,B
Biology,Biological Classification,Algae and fungi features,Medium,60,"Which one is a wrong statement?",Brown algae have chlorophyll a and c and fucoxanthin,Archegonia are found in Bryophyta Pteridophyta and Gymnosperms,Mucor has biflagellate zoospores,Haploid endosperm is a typical feature of Gymnosperms,C
Biology,Ecosystem,Trophic levels,Medium,50,"Most animals that live in deep oceanic waters are:",Detritivores,Primary consumers,Secondary consumers,Tertiary consumers,C
Biology,Organisms and Populations,Community ecology,Easy,40,"An association of individuals of different species living in the same habitat and having functional interactions is a:",Population,Ecological niche,Biotic community,Ecosystem,C
Biology,Photosynthesis in Higher Plants,Photolysis of water,Medium,50,"The oxygen evolved during photosynthesis comes from water. Which pair of elements is involved in this reaction?",Magnesium and Chlorine,Manganese and Chlorine,Manganese and Potassium,Magnesium and Molybdenum,B
Biology,Morphology of Flowering Plants,Placentation,Medium,45,"Axile placentation is present in:",Argemone,Dianthus,Lemon,Pea,C
Biology,Ecosystem,Nutrient cycles,Medium,60,"Which option correctly matches the nutrient cycles?",Gaseous: Sulphur and Phosphorus | Sedimentary: Carbon and Nitrogen,Gaseous: Carbon and Nitrogen | Sedimentary: Sulphur and Phosphorus,Gaseous: Carbon and Sulphur | Sedimentary: Nitrogen and Phosphorus,Gaseous: Nitrogen and Sulphur | Sedimentary: Carbon and Phosphorus,B
Biology,Neural Control and Coordination,Structure of the eye,Medium,50,"In the mammalian eye the fovea is the centre of the visual field where:",More rods than cones are found,A high density of cones occurs but no rods,The optic nerve leaves the eye,Only rods are present,B
Biology,Biological Classification,Fungi,Medium,50,"Choose the wrong statement:",Yeast is unicellular and useful in fermentation,Penicillium is multicellular and produces antibiotics,Neurospora is used in the study of biochemical genetics,Morels and truffles are poisonous mushrooms,D
Biology,Cell: The Unit of Life,Cell organelles,Easy,40,"Which of the following is NOT membrane-bound?",Mesosomes,Vacuoles,Ribosomes,Lysosomes,C
Biology,Organisms and Populations,Population interactions,Easy,40,"In which interaction are both partners adversely affected?",Mutualism,Competition,Predation,Parasitism,B
Biology,Principles of Inheritance and Variation,Sex-linked inheritance,Medium,75,"A colour-blind man marries a woman of normal sight with no family history of colour blindness. The probability of their grandson being colour blind is:",0.25,0.5,1,Nil,B
Biology,Human Reproduction,Fertilization and implantation,Easy,45,"Ectopic pregnancy refers to:",Pregnancy terminated due to hormonal imbalance,Pregnancy with genetic abnormality,Implantation of the embryo at a site other than the uterus,Implantation of a defective embryo in the uterus,C
Biology,Cell: The Unit of Life,Membrane-bound organelles,Medium,50,"Cellular organelles with membranes are:",Lysosomes Golgi apparatus and mitochondria,Nuclei ribosomes and mitochondria,Chromosomes ribosomes and endoplasmic reticulum,Endoplasmic reticulum ribosomes and nuclei,A
Biology,Biological Classification,Cell wall in organisms,Easy,40,"Cell wall is absent in:",Nostoc,Aspergillus,Funaria,Mycoplasma,D
Biology,Biological Classification,Protists,Medium,50,"In which group of organisms do the cell walls form two thin overlapping shells that fit together?",Slime moulds,Chrysophytes,Euglenoids,Dinoflagellates,B
Biology,Sexual Reproduction in Flowering Plants,Male gametophyte,Medium,50,"The male gametophyte in angiosperms produces:",Three sperms,Two sperms and a vegetative cell,A single sperm and a vegetative cell,A single sperm and two vegetative cells,B
Biology,Sexual Reproduction in Flowering Plants,Endosperm,Easy,45,"The coconut water from a tender coconut is:",Degenerated nucellus,Immature embryo,Free nuclear endosperm,Innermost layer of the seed coat,C
Biology,Biodiversity and Conservation,Endemism,Easy,40,"A species confined to a particular region and not found elsewhere is termed:",Rare,Keystone,Alien,Endemic,D
Biology,Animal Kingdom,Coelenterate life cycle,Medium,50,"Metagenesis refers to:",A segmented body with parthenogenetic reproduction,The presence of different morphic forms,Alternation of generation between asexual and sexual phases,A drastic change in form during post-embryonic development,C
Biology,Environmental Issues,Eutrophication,Medium,50,"Eutrophication of water bodies leading to the death of fishes is mainly due to the non-availability of:",Oxygen,Food,Light,Essential minerals,A
Biology,Structural Organisation in Animals,Cell junctions,Medium,50,"The function of a gap junction is to:",Stop substances leaking across a tissue,Cement neighbouring cells together,Facilitate communication between adjoining cells for rapid transfer of ions and small molecules,Separate two cells from each other,C
Biology,Cell Cycle and Cell Division,Stages of meiosis,Medium,60,"Arrange the events of meiosis in the correct sequence: (a) Crossing over (b) Synapsis (c) Terminalisation of chiasmata (d) Disappearance of nucleolus",b c d a,b a d c,b a c d,a b c d,C
Biology,Biotechnology - Principles and Processes,Restriction enzymes,Easy,40,"The cutting of DNA at specific locations became possible with the discovery of:",Ligases,Restriction enzymes,Probes,Selectable markers,B
Biology,Mineral Nutrition,Biological nitrogen fixation,Medium,50,"During biological nitrogen fixation, inactivation of nitrogenase by oxygen is prevented by:",Cytochrome,Leghaemoglobin,Xanthophyll,Carotene,B
Biology,Human Health and Disease,Immune response and grafts,Medium,50,"A grafted kidney may be rejected in a patient due to:",Innate immune response,Humoral immune response,Cell-mediated immune response,Passive immune response,C
Biology,Structural Organisation in Animals,Excretion in cockroach,Medium,50,"The body cells of a cockroach discharge their nitrogenous waste into the haemolymph mainly as:",Calcium carbonate,Ammonia,Potassium urate,Urea,C
Biology,Sexual Reproduction in Flowering Plants,Embryo sac,Medium,50,"The filiform apparatus is a characteristic feature of:",Synergids,The generative cell,The nucellar embryo,The aleurone cell,A
Biology,Environmental Issues,Acid rain,Easy,40,"Acid rain is caused by an increase in the atmospheric concentration of:",O3 and dust,SO2 and NO2,SO3 and CO,CO2 and CO,B
Biology,Morphology of Flowering Plants,Monocot seed structure,Medium,50,"The wheat grain has an embryo with one large shield-shaped cotyledon known as the:",Coleoptile,Epiblast,Coleorrhiza,Scutellum,D
Biology,Morphology of Flowering Plants,Position of ovary,Hard,75,"Among china rose, mustard, brinjal, potato, guava, cucumber, onion and tulip, how many plants have a superior ovary?",Four,Five,Six,Three,C
Biology,Locomotion and Movement,Functions of the skeleton,Easy,40,"Which of the following is NOT a function of the skeletal system?",Locomotion,Production of erythrocytes,Storage of minerals,Production of body heat,D
Biology,Biological Classification,Pigments in prokaryotes,Easy,40,"Chromatophores take part in:",Respiration,Photosynthesis,Growth,Movement,B
Biology,Biological Classification,Viruses and viroids,Medium,60,"Select the wrong statement:",Mosaic disease in tobacco and AIDS in humans are caused by viruses,The viroids were discovered by D.J. Ivanowski,W.M. Stanley showed that viruses could be crystallized,The term contagium vivum fluidum was coined by M.W. Beijerinck,B
Biology,Principles of Inheritance and Variation,Gene interactions,Medium,50,"A pleiotropic gene:",Controls multiple traits in an individual,Is expressed only in primitive plants,Evolved during the Pliocene,Controls a trait only in combination with another gene,A
Biology,Excretory Products and their Elimination,Tubular secretion,Medium,60,"Human urine is usually acidic because:",Hydrogen ions are actively secreted into the filtrate,The sodium transporter exchanges one hydrogen ion for each sodium ion in peritubular capillaries,Excreted plasma proteins are acidic,Potassium and sodium exchange generates acidity,A
Biology,Plant Growth and Development,Plant hormones,Medium,50,"Auxin can be bioassayed by:",Lettuce hypocotyl elongation,Avena coleoptile curvature,Hydroponics,Potometer,B
Biology,Human Reproduction,Menstrual cycle and ovulation,Medium,50,"Which event is NOT associated with ovulation in the human female?",LH surge,Decrease in estradiol,Full development of the Graafian follicle,Release of the secondary oocyte,B
Biology,Animal Kingdom,Phylum Porifera,Medium,50,"A body with a meshwork of cells, internal cavities lined with food-filtering flagellated cells, and indirect development are characteristics of the phylum:",Protozoa,Coelenterata,Porifera,Mollusca,C
Biology,Chemical Coordination and Integration,Hormones and metabolism,Medium,45,"Which one of the following hormones is NOT involved in sugar metabolism?",Glucagon,Cortisone,Aldosterone,Insulin,C
Biology,Human Health and Disease,Protozoan diseases,Medium,45,"Which of the following diseases is caused by a protozoan?",Blastomycosis,Syphilis,Influenza,Babesiosis,D
Biology,Strategies for Enhancement in Food Production,Animal breeding,Medium,50,"Outbreeding is an important strategy of animal husbandry because it:",Exposes harmful recessive genes that are eliminated by selection,Helps in the accumulation of superior genes,Is useful in producing pure lines of animals,Is useful in overcoming inbreeding depression,D
Biology,Animal Kingdom,Cyclostomes,Medium,50,"A jawless fish that lays eggs in fresh water and whose ammocoete larva returns to the ocean after metamorphosis is:",Petromyzon,Eptatretus,Myxine,Neomyxine,A
Biology,Biological Classification,Bacterial appendages,Easy,40,"The structures that help some bacteria attach to rocks and/or host tissues are:",Holdfast,Rhizoids,Fimbriae,Mesosomes,C
Biology,Human Health and Disease,Antibodies,Medium,50,"If you suspect a major deficiency of antibodies in a person, which would you check for confirmatory evidence?",Serum globulins,Fibrinogen in plasma,Serum albumins,Haemocytes,A
Biology,Human Reproduction,Oogenesis,Medium,50,"In human females, meiosis-II is completed only at:",Birth,Puberty,Fertilization,Uterine implantation,C
Biology,Human Reproduction,Graafian follicle,Medium,50,"Which of the following layers in an antral follicle is acellular?",Zona pellucida,Granulosa,Theca interna,Stroma,A
Biology,Principles of Inheritance and Variation,Mendel's experiments,Medium,45,"In his classic experiments on pea plants, Mendel did NOT use:",Flower position,Seed colour,Pod length,Seed shape,C
Biology,Sexual Reproduction in Flowering Plants,Parthenocarpy,Easy,40,"Which one of the following fruits is parthenocarpic?",Banana,Brinjal,Apple,Jackfruit,A
Biology,Sexual Reproduction in Flowering Plants,Spore formation,Medium,50,"In angiosperms, microsporogenesis and megasporogenesis:",Occur in the ovule,Occur in the anther,Form gametes without further division,Involve meiosis,D
Biology,Principles of Inheritance and Variation,Codominance,Medium,50,"A gene showing codominance has:",Both alleles independently expressed in the heterozygote,One allele dominant over the other,Alleles tightly linked on the same chromosome,Alleles that are recessive to each other,A
Biology,Biomolecules,Polysaccharides,Medium,50,"The chitinous exoskeleton of arthropods is formed by the polymerisation of:",Lipoglycans,Keratin sulphate and chondroitin sulphate,D-glucosamine,N-acetylglucosamine,D
