subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,Wave Optics,Huygens Principle Secondary Wavelets,Easy,45,"Huygens' principle states that every point on a wavefront acts as a source of:",Reflected waves only,Secondary wavelets that spread out in all directions at the speed of light in that medium,Stationary waves,Magnetic waves only,B
Physics,Wave Optics,Wavefront Definition,Easy,45,A wavefront is defined as:,The leading edge of a single ray of light,A surface on which all points have the same phase of oscillation (equal phase surface),The boundary between a transparent and an opaque medium,The path of a single light ray,B
Physics,Wave Optics,Spherical Wavefront,Easy,45,The wavefront from a point source of light at a finite distance is:,Plane,Cylindrical,Spherical,Flat,C
Physics,Wave Optics,Plane Wavefront at Large Distance,Easy,45,"As the distance from a point source increases to a very large value, the wavefront from that source approaches the shape of:",A sphere,A cylinder,A cone,A plane,D
Physics,Wave Optics,Constructive Interference Path Difference,Easy,50,Two coherent waves undergo constructive interference when their path difference is:,An odd multiple of lambda/2,"A whole number multiple of the wavelength lambda (i.e., 0, lambda, 2*lambda, ...)",Always zero,Equal to lambda/4,B
Physics,Wave Optics,Destructive Interference Path Difference,Easy,50,Two coherent waves undergo destructive interference when their path difference is:,A whole number multiple of the wavelength lambda,"An odd multiple of lambda/2 (i.e., lambda/2, 3*lambda/2, ...)",Always zero,Equal to lambda,B
Physics,Wave Optics,Coherent Sources Definition,Easy,50,Coherent sources of light are those that:,Emit light of different wavelengths,Have a constant phase difference and emit light of the same wavelength,Are always in the same physical location,Emit incoherent (random) light,B
Physics,Wave Optics,Young Double Slit Fringe Pattern,Easy,45,"In Young's double slit experiment, alternating bright and dark bands observed on the screen are called:",Diffraction spots,Interference fringes,Polarization rings,Dispersion bands,B
Physics,Wave Optics,Fringe Width Formula,Easy,50,"In Young's double slit experiment, the fringe width (beta) is given by:",beta = d * lambda / D,beta = D * lambda / d,beta = lambda / (D * d),beta = lambda * D * d,B
Physics,Wave Optics,YDSE Effect of Increasing Slit Separation,Easy,50,"In Young's double slit experiment, if the separation between the two slits (d) is increased, the fringe width:",Increases,Decreases,Remains unchanged,Becomes infinite,B
Physics,Wave Optics,YDSE Effect of Increasing Screen Distance,Easy,50,"In Young's double slit experiment, if the distance between the slits and the screen (D) is increased, the fringe width:",Increases,Decreases,Remains unchanged,Becomes zero,A
Physics,Wave Optics,YDSE Effect of Longer Wavelength,Easy,50,"In Young's double slit experiment, if the wavelength of light used is increased (using red light instead of violet light), the fringe width:",Decreases,Remains unchanged,Increases,Becomes zero,C
Physics,Wave Optics,Diffraction Bending Around Obstacles,Easy,45,Diffraction of light refers to the phenomenon of:,Light splitting into colors,Bending of light around the edges of obstacles or passing through small apertures,Light bouncing off a mirror,Light slowing down in a denser medium,B
Physics,Wave Optics,Single Slit Central Maximum,Easy,50,"In a single slit diffraction pattern, the central maximum (central bright fringe):",Is the same width as the other bright fringes,Is narrower than the secondary maxima,Is twice as wide as the secondary maxima and is the brightest,Is absent (there is no central maximum in single-slit diffraction),C
Physics,Wave Optics,Polarization Wave Nature,Easy,50,The phenomenon of polarization of light demonstrates that light is a:,Longitudinal wave,Transverse wave,Sound wave,Static electric field,B
Physics,Wave Optics,Polaroid Sheets,Easy,50,A Polaroid sheet is an optical device that:,Reflects all incident light,Transmits light of only one specific plane of polarization (plane polarized light),Converts visible light into infrared,Produces white light from monochromatic light,B
Physics,Wave Optics,Malus Law Statement,Easy,50,"Malus's law states that when polarized light of intensity I0 passes through a polarizer (analyzer) that makes an angle theta with the plane of polarization, the transmitted intensity is:",I = I0 / cos^2(theta),I = I0 * cos^2(theta),I = I0 * sin^2(theta),I = I0 * tan^2(theta),B
Physics,Wave Optics,Malus Law Angle Zero,Easy,50,"According to Malus's law, when the transmission axes of a polarizer and an analyzer are parallel (angle = 0 degrees), the transmitted intensity is:",Zero,I0 / 2,"I0 (maximum, unchanged)",2 * I0,C
Physics,Wave Optics,Malus Law Angle 90,Easy,50,"According to Malus's law, when the transmission axes of a polarizer and an analyzer are perpendicular (crossed, angle = 90 degrees), the transmitted intensity is:",Zero,I0 / 2,I0,2 * I0,A
Physics,Wave Optics,Brewster Law Statement,Easy,55,"Brewster's law states that when light is incident at the polarizing angle (Brewster's angle), the reflected and refracted rays are:",Parallel to each other,Perpendicular to each other,At 45 degrees to each other,At 120 degrees to each other,B
Physics,Wave Optics,Brewster Angle Formula,Easy,45,"Brewster's angle (ip) for a medium of refractive index n is given by:",sin(ip) = n,cos(ip) = n,tan(ip) = n,tan(ip) = 1/n,C
Physics,Wave Optics,Thin Film Interference Colors,Easy,50,The beautiful colors observed in a thin soap bubble or oil film on water are due to:,Dispersion of white light by a prism-like soap layer,Interference of light reflected from the two surfaces of the thin film,Total internal reflection of light inside the soap film,Diffraction of light by the film's surface molecules,B
Physics,Wave Optics,Coherence Condition for Stable Interference,Easy,50,"For a stable (sustained) interference pattern to be observed, the two interfering sources must be:",Extremely bright (high intensity),Coherent (constant phase difference and same frequency),Far apart from each other,Moving at the speed of light,B
Physics,Wave Optics,Intensity at Bright and Dark Fringes,Easy,55,"In an interference pattern from two coherent sources of equal intensity I, the intensity at bright fringes is 4I and at dark fringes is:",4I,2I,Zero,I,C
Physics,Wave Optics,Diffraction Width Change with Slit Width,Easy,50,"When light passes through a very narrow single slit, the central diffraction maximum:",Becomes narrower as the slit width decreases,Becomes wider as the slit width decreases,Remains unchanged regardless of slit width,Disappears when the slit is very narrow,B
Physics,Wave Optics,Huygens Construction New Wavefront,Easy,50,"According to Huygens' construction, the new wavefront at a later time is obtained by:",Drawing a line along the direction of wave propagation,Constructing the common tangent (envelope) to all the secondary wavelets from points on the previous wavefront,Connecting all the wave sources with a straight line,Doubling the radius of the original wavefront,B
Physics,Wave Optics,Interference vs Diffraction,Easy,55,"Which of the following statement is NOT correct?",Interference involves superposition of waves from two coherent sources,Diffraction involves bending of waves around obstacles,Both interference and diffraction are wave phenomena,Diffraction can only occur with electromagnetic waves and not with mechanical waves,D
Physics,Wave Optics,Natural Light Vibrations,Easy,50,"Natural (unpolarized) light, such as sunlight, has:",Vibrations in only one fixed direction,"Vibrations in all directions perpendicular to the direction of propagation, randomly oriented",No vibrations since it is longitudinal,Vibrations only along the direction of propagation,B
Physics,Wave Optics,Superposition Principle,Easy,45,"The principle of superposition, which is the basis of interference, states that when two waves meet at a point, the resultant displacement is:",The product of the individual displacements,The algebraic sum of the individual displacements,Always zero,The larger of the two individual displacements,B
