subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,Electromagnetic Induction,Magnetic Flux Unit,Easy,45,The SI unit of magnetic flux is the:,Tesla,Weber,Henry,Farad,B
Physics,Electromagnetic Induction,Faraday's Law,Easy,45,"According to Faraday's law of electromagnetic induction, the induced EMF in a circuit is equal to:",The magnetic flux through the circuit,The negative rate of change of magnetic flux,The product of resistance and current,The magnetic field strength,B
Physics,Electromagnetic Induction,Lenz's Law,Easy,45,Lenz's law of electromagnetic induction is a direct consequence of which fundamental principle?,Conservation of momentum,Conservation of charge,Conservation of energy,Conservation of mass,C
Physics,Electromagnetic Induction,Inductance Unit,Easy,40,The SI unit of self-inductance is the:,Weber,Tesla,Henry,Farad,C
Physics,Electromagnetic Induction,Motional EMF,Easy,45,"A conducting rod of length L moves with velocity v perpendicular to a uniform magnetic field B, with v, L, and B mutually perpendicular. The motional EMF induced across the rod is given by:",BL/v,Bv/L,BvL,B/(vL),C
Physics,Electromagnetic Induction,Eddy Currents,Easy,45,Eddy currents are induced electric currents that circulate within:,Insulators placed in a changing magnetic field,The bulk of conductors placed in a changing magnetic field,Vacuum regions near a magnet,Permanent magnets only,B
Physics,Electromagnetic Induction,History of EMI,Easy,40,The phenomenon of electromagnetic induction was experimentally discovered by:,James Clerk Maxwell,Andre-Marie Ampere,Michael Faraday,Heinrich Lenz,C
Physics,Electromagnetic Induction,Mutual Inductance Unit,Easy,40,Mutual inductance between two coils is measured in the same SI unit as:,Capacitance,Resistance,Self-inductance,Magnetic flux,C
Physics,Electromagnetic Induction,Self-Induced EMF,Easy,45,"If the current in a coil of self-inductance L changes at a rate dI/dt, the magnitude of the self-induced EMF is given by:",L/(dI/dt),L(dI/dt),(dI/dt)/L,L^2(dI/dt),B
Physics,Electromagnetic Induction,Energy Stored in Inductor,Easy,45,The energy stored in an inductor of inductance L carrying a steady current I is:,LI,LI^2,(1/2)LI^2,(1/2)L^2I,C
Physics,Electromagnetic Induction,Magnetic Flux Formula,Easy,45,"The magnetic flux through a plane surface of area A placed in a uniform magnetic field B, with the area vector making angle theta with B, is given by:",BA tan(theta),BA sin(theta),BA cos(theta),BA,C
Physics,Electromagnetic Induction,AC Generator,Easy,40,An AC generator converts:,Electrical energy into mechanical energy,Mechanical energy into electrical energy,Chemical energy into electrical energy,Heat energy into mechanical energy,B
Physics,Electromagnetic Induction,Condition for Maximum EMF,Easy,50,"For a coil rotating with constant angular velocity in a uniform magnetic field, the induced EMF is maximum when the plane of the coil is:",Perpendicular to the magnetic field,Parallel to the magnetic field,At 45 degrees to the magnetic field,Independent of orientation,B
Physics,Electromagnetic Induction,Weber-Volt Relation,Easy,45,One weber is equivalent to:,One tesla per square metre,One volt-second,One ampere-second,One newton per ampere,B
Physics,Electromagnetic Induction,Laminated Cores,Easy,45,Laminating the iron core of a transformer or motor primarily helps to:,Increase the magnetic field strength,Reduce energy losses due to eddy currents,Increase the self-inductance,Reduce the weight of the core,B
Physics,Electromagnetic Induction,Solenoid Self-Inductance,Easy,50,"For a long solenoid with n turns per unit length, cross-sectional area A, and length l, the self-inductance is given by L = mu0 n^2 A l. This shows that self-inductance depends on:",Only the current flowing through it,The geometry of the solenoid and the medium inside it,Only the resistance of the wire,The frequency of the applied voltage,B
Physics,Electromagnetic Induction,Faraday's Law Quantitative,Easy,45,"If the magnetic flux through a single-turn coil changes by 0.02 Wb in 0.1 s, the magnitude of the induced EMF is:",0.002 V,0.02 V,0.2 V,2 V,C
