subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option,reason,q_no,page
Physics,Waves,Waves,,60,"A siren emitting a sound of frequency 800 Hz moves away from an observer towards a cliff at a speed of 15 ms−1. Then, the frequency of sound that the observer hears in the echo reflected from the cliff is : (Take velocity of sound in air = 330 ms−1) 3",765 Hz,800 Hz,838 Hz,885 Hz,C,low-confidence: Waves,4,2
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,60,"A capacitor of 2μF is charged as shown in the diagram. When the switch S is turned to position 2, the percentage of its stored energy dissipated is:",0%,20%,75%,80%,D,figure/parse,5,3
Physics,Gravitation,Gravitation,,60,At what height from the surface of earth the gravitation potential and the value of g are −5.4 × 107J kg−2 and 6.0 ms−2 respectively? Take the radius of earth as 6400 km:,2600 km,1600 km,1400 km,2000 km,A,low-confidence: Gravitation,7,5
Physics,Thermodynamics,Thermodynamics,,60,A refrigerator works between 4oC and 30oC. It is required to remove 600 calories of heat every second in order to keep the temperature of the refrigerated space constant. The power required is: (Take 1 cal = 4.2 Joules),2.365 W,23.65 W,236.5 W 9,2365 W,C,low-confidence: Thermodynamics,11,8
Physics,Semiconductor Electronics,Semiconductor Electronics,,60,Consider the junction diode as ideal. The value of current flowing through AB is:,0 A 10,10−2 𝐴,10−1 𝐴,10−3 𝐴,B,low-confidence: Semiconductor Electronics,13,9
Physics,Current Electricity,Current Electricity,,60,The charge flowing through a resistance R varies with time t as Q = at − bt2 where a and b are positive constants. The total heat produced in R is :,a3R 6b,a3R 3b,a3R 2b,a3R b,A,low-confidence: Current Electricity,14,10
Physics,Semiconductor Electronics,Semiconductor Electronics,,60,"A npn transistor is connected in common emitter configuration in a given amplifier. A load resistance of 800 Ω is connected in the collector circuit and the voltage drop across it is 0.8 V. If the current amplification factor is 0.96 and the input resistance of the circuit is 192 Ω, the voltage gain and the power gain of the amplifier will respectively be:","4, 3.84","3.69, 3.84","4, 4","4, 3.69",A,figure/parse,17,12
Physics,System of Particles and Rotational Motion,System of Particles and Rotational Motion,,60,A uniform circular disc of radius 50 cm at rest is free to tum about an axis which is perpendicular to its plane and passes through its centre. It is subjected to a torque which produces a constant angular acceleration of 2.0 rad s−2. Its net acceleration in ms−2 at the end of 2.0 s is approximately:,8.0,7.0,6.0,3.0,A,low-confidence: System of Particles and Rotational Motion,19,13
Physics,Dual Nature of Radiation and Matter,Dual Nature of Radiation and Matter,,60,An electron of mass m and a photon have same energy E. the ratio of de-Broglie wavelengths associated with them is: SS 14,1 c ( E 2m) 1 2,( E 2m) 1 2,c(2mE)1 2,1 c (2m E ) 1 2 (c being velocity of light),A,low-confidence: Dual Nature of Radiation and Matter,20,13
Physics,Kinetic Theory,Kinetic Theory,,60,"The molecules of a given mass of a gas have r.m.s velocity of 200 ms−1 at 27oC and 1.0 × 105 Nm−2 pressure. When the temperature and pressure of the gas are respectively, 127oC and 0.05 × 105 Nm−2, the r.m.s. velocity of its molecules in ms−1 is: 17",100√2,400 √3,100√2 3,100 3,B,low-confidence: Kinetic Theory,25,16
