subject,chapter,concept,difficulty,par_time_sec,par_seconds,question_text,option_a,option_b,option_c,option_d,correct_option,year,q_no
Physics,Thermodynamics,Thermodynamics,,60,,"The efficiency of an ideal heat engine working between the freezing point and boiling point of water, is",26.8%,6.25%,20%,12.5%,A,2018,1
Physics,Current Electricity,Current Electricity,,60,,Current sensitivity of a moving coil galvanometer is 5 div/mA and its voltage sensitivity (angular deflection per unit voltage applied) is 20 div/V. The resistance of the galvanometer is,40 ,250 ,25 ,500 ,A,2018,8
Physics,Semiconductor Electronics,Semiconductor Electronics,,60,,"In a p-n junction diode, change in temperature due to heating",Affects only reverse resistance,Does not affect resistance of p-n junction,Affects only forward resistance,Affects the overall V - I characteristics of p-n junction,D,2018,17
Physics,Ray Optics and Optical Instruments,Ray Optics and Optical Instruments,,60,,"An astronomical refracting telescope will have large angular magnification and high angular resolution, when it has an objective lens of",Small focal length and large diameter,Large focal length and large diameter,Large focal length and small diameter,Small focal length and small diameter,C,2018,21
Physics,Oscillations,Oscillations,,60,,A pendulum is hung from the roof of a sufficiently high building and is moving freely to and fro like a simple harmonic oscillator. The acceleration of the bob of the pendulum is 20 m/s2 at a distance of 5 m from the mean position. The time period of oscillation is,2 s,2 s, s,1 s,C,2018,23
Physics,System of Particles and Rotational Motion,System of Particles and Rotational Motion,,60,,A solid sphere is rotating freely about its symmetry axis in free space. The radius of the sphere is increased keeping its mass same. Which of the following physical quantities would remain constant for the sphere?,Angular velocity,Rotational kinetic energy,Moment of inertia,Angular momentum,C,2018,28
Physics,Oscillations,Oscillations,,60,,"If the mass of the Sun were ten times smaller and the universal gravitational constant were ten times larger in magnitude, which of the following is not correct?",Raindrops will fall faster,Time period of a simple pendulum on the Earth would decrease,Walking on the ground would become more difficult,‘g’ on the Earth will not change,D,2018,29
Chemistry,Polymers,Polymers,,60,,"Regarding cross-linked or network polymers, which of the following statements is incorrect?",They contain covalent bonds between various linear polymer chains.,Examples are bakelite and melamine.,They are formed from bi- and tri-functional monomers.,They contain strong covalents bonds in their polymer chains.,B,2018,49
Chemistry,Equilibrium,Equilibrium,,60,,The solubility of BaSO4 in water is 2.42 × 10–3 gL–1 at 298 K. The value of its solubility product (Ksp) will be (Given molar mass of BaSO4 = 233 g mol–1),1.08 × 10–10 mol2L–2,1.08 × 10–14 mol2L–2,1.08 × 10–12 mol2L–2,1.08 × 10–8 mol2L–2,D,2018,87
Biology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,,90,,Which of the following is not a product of light reaction of photosynthesis?,ATP,NADPH,NADH,Oxygen,D,2018,111
Biology,Anatomy of Flowering Plants,Anatomy of Flowering Plants,,90,,Secondary xylem and phloem in dicot stem are produced by,Apical meristems,Phellogen,Vascular cambium,Axillary meristems,A,2018,123
Biology,Biological Classification,Biological Classification,,90,,Select the wrong statement :,Cell wall is present in members of Fungi and Plantae,Pseudopodia are locomotory and feeding structures in Sporozoans,Mushrooms belong to Basidiomycetes,Mitochondria are the powerhouse of the cell in all kingdoms except Monera,C,2018,127
Biology,Anatomy of Flowering Plants,Anatomy of Flowering Plants,,90,,Casparian strips occur in,Epidermis,Cortex,Pericycle,Endodermis,A,2018,128
Biology,Biotechnology - Principles and Processes,Biotechnology - Principles and Processes,,90,,Which of the following is commonly used as a vector for introducing a DNA fragment in human lymphocytes?,Retrovirus, phage,Ti plasmid,pBR 322,A,2018,131
Biology,Principles of Inheritance and Variation,Principles of Inheritance and Variation,,90,,Select the correct match,Ribozyme - Nucleic acid,T.H. Morgan - Transduction,F2 × Recessive parent - Dihybrid cross,G. Mendel - Transformation,A,2018,133
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,90,,Which of the following hormones can play a significant role in osteoporosis?,Aldosterone and Prolactin,Estrogen and Parathyroid hormone,Progesterone and Aldosterone,Parathyroid hormone and Prolactin,C,2018,137
Biology,Evolution,Evolution,,90,,"According to Hugo de Vries, the mechanism of evolution is",Multiple step mutations,Phenotypic variations,Saltation,Minor mutations,A,2018,143
Biology,Human Health and Disease,Human Health and Disease,,90,,In which disease does mosquito transmitted pathogen cause chronic inflammation of lymphatic vessels?,Elephantiasis,Ringworm disease,Ascariasis,Amoebiasis,C,2018,145
Biology,Environmental Issues,Environmental Issues,,90,,Match the items given in Column I with those in Column II and select the correct option given below : Column-I Column-II a. Eutrophication i. UV-B radiation b. Sanitary landfill ii. Deforestation c. Snow blindness iii. Nutrient enrichment d. Jhum cultivation iv. Waste disposal a b c d,ii i iii iv,iii iv i ii,i iii iv ii,i ii iv iii,D,2018,153
Biology,Chemical Coordination and Integration,Chemical Coordination and Integration,,90,,Hormones secreted by the placenta to maintain pregnancy are,"hCG, hPL, progestogens, prolactin","hCG, hPL, progestogens, estrogens","hCG, hPL, estrogens, relaxin, oxytocin","hCG, progestogens, estrogens, glucocorticoids",A,2018,156
Biology,Reproductive Health,Reproductive Health,,90,,The contraceptive ‘SAHELI’,"blocks estrogen receptors in the uterus, preventing eggs from getting implanted.",is an IUD.,increases the concentration of estrogen and prevents ovulation in females.,is a post-coital contraceptive.,C,2018,157
Biology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,,90,,"Which of the following options correctly represents the lung conditions in asthma and emphysema, respectively?",Inflammation of bronchioles; Decreased respiratory surface,Increased respiratory surface; Inflammation of bronchioles,Increased number of bronchioles; Increased respiratory surface,Decreased respiratory surface; Inflammation of bronchioles,A,2018,160
Biology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,,90,,Match the items given in Column I with those in Column II and select the correct option given below: Column I Column II a. Tidal volume i. 2500 – 3000 mL b. Inspiratory Reserve ii. 1100 – 1200 mL volume c. Expiratory Reserve iii. 500 – 550 mL volume d. Residual volume iv. 1000 – 1100 mL a b c d,iii ii i iv,i iv ii iii,iii i iv ii,iv iii ii i,A,2018,162
Biology,Excretory Products and their Elimination,Excretory Products and their Elimination,,90,,Match the items given in Column I with those in Column II and select the correct option given below : Column I Column II a. Glycosuria i. Accumulation of uric acid in joints b. Gout ii. Mass of crystallised salts within the kidney c. Renal calculi iii. Inflammation in glomeruli d. Glomerular iv. Presence of in nephritis glucose urine a b c d,iii ii iv i,ii iii i iv,i ii iii iv,iv i ii iii,C,2018,164
Biology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,,90,,Which of the following is an occupational respiratory disorder?,Anthracis,Botulism,Silicosis,Emphysema,C,2018,165
Biology,Locomotion and Movement,Locomotion and Movement,,90,,Calcium is important in skeletal muscle contraction because it,Binds to troponin to remove the masking of active sites on actin for myosin.,Detaches the myosin head from the actin filament.,Activates the myosin ATPase by binding to it.,Prevents the formation of bonds between the myosin cross bridges and the actin filament.,D,2018,166
Biology,Respiration in Plants,Respiration in Plants,,90,,Which of these statements is incorrect?,Enzymes of TCA cycle are present in mitochondrial matrix,Glycolysis operates as long as it is supplied with NAD that can pick up hydrogen atoms,Glycolysis occurs in cytosol,Oxidative phosphorylation takes place in outer mitochondrial membrane,D,2018,169
Biology,Biological Classification,Biological Classification,,90,,Which of the following organisms are known as chief producers in the oceans?,Dinoflagellates,Cyanobacteria,Diatoms,Euglenoids,B,2018,179
