subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,Electromagnetic Waves,Nature of EM Waves,Easy,45,"Electromagnetic waves are:",Longitudinal waves requiring a material medium,Transverse waves consisting of oscillating electric and magnetic fields,Mechanical waves like sound,Waves that can only travel through a medium,B
Physics,Electromagnetic Waves,Direction of E and B Fields,Easy,50,"In an electromagnetic wave, the electric field vector E and the magnetic field vector B are:",Parallel to each other and to the direction of propagation,Perpendicular to each other and to the direction of propagation,Parallel to each other but perpendicular to the direction of propagation,Antiparallel to each other,B
Physics,Electromagnetic Waves,Speed of EM Waves in Vacuum,Easy,45,The speed of electromagnetic waves in vacuum is given by:,c = mu0 * epsilon0,c = 1 / sqrt(mu0 * epsilon0),c = sqrt(mu0 * epsilon0),c = mu0 / epsilon0,B
Physics,Electromagnetic Waves,Displacement Current Concept,Easy,55,The concept of displacement current was introduced by Maxwell to explain:,The flow of current through a battery,"Continuity of current in a circuit containing a capacitor, where conduction current is zero between the plates",The motion of electrons in a conductor,The resistance of a wire,B
Physics,Electromagnetic Waves,Displacement Current Formula,Easy,50,The displacement current is given by the expression:,"Id = epsilon0 * (dPhi_E / dt), where Phi_E is the electric flux",Id = mu0 * (dPhi_B / dt),Id = q / t,Id = V / R,A
Physics,Electromagnetic Waves,EM Spectrum Order by Wavelength,Easy,50,"Arranging electromagnetic waves in order of increasing wavelength, the correct sequence is:","Gamma rays, X-rays, ultraviolet, visible, infrared, radio waves","Radio waves, infrared, visible, ultraviolet, X-rays, gamma rays","Visible, ultraviolet, infrared, X-rays, gamma rays, radio waves","X-rays, gamma rays, radio waves, microwaves, infrared, visible",A
Physics,Electromagnetic Waves,EM Spectrum Order by Frequency,Easy,45,"Among the following, which electromagnetic wave has the highest frequency?",Radio waves,Visible light,Infrared waves,Gamma rays,D
Physics,Electromagnetic Waves,Source of Gamma Rays,Easy,45,Gamma rays are typically produced by:,Oscillating electric circuits,Radioactive decay of atomic nuclei,Heated objects (thermal radiation),Vibrating molecules,B
Physics,Electromagnetic Waves,Source of X-Rays,Easy,50,X-rays are commonly produced by:,Rapid deceleration of high-energy electrons striking a metal target,Radioactive decay of nuclei only,Rotation of molecules,Nuclear fusion reactions only,A
Physics,Electromagnetic Waves,Ozone Layer and UV Radiation,Easy,50,"The ozone layer in the Earth's atmosphere is important because it:",Reflects all visible light back to space,"Absorbs harmful ultraviolet radiation from the sun, protecting living organisms",Produces gamma rays,Increases the speed of light,B
