subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,Atoms,Thomson Plum Pudding Model,Easy,50,"J.J. Thomson proposed the plum pudding model of the atom, in which:",Electrons orbit a dense central nucleus,The atom consists of a positively charged sphere with electrons embedded in it,The nucleus contains all protons and neutrons,Electrons are arranged in fixed energy shells,B
Physics,Atoms,Rutherford Gold Foil Experiment,Easy,55,"In Rutherford's gold foil experiment, alpha particles were directed at a thin gold foil. The key observation was that:",All alpha particles passed through without deflection,All alpha particles were deflected backward,"Most passed through with little or no deflection, but a small fraction were deflected through very large angles (including backward)",All alpha particles were absorbed by the gold foil,C
Physics,Atoms,Rutherford Nuclear Model,Easy,50,"Based on his gold foil experiment, Rutherford proposed that the atom has:",No nucleus; it is a uniform distribution of positive charge,"A tiny, dense, positively charged nucleus with electrons orbiting around it at large distances",Electrons embedded uniformly in the atomic volume,Both protons and electrons in the nucleus,B
Physics,Atoms,Rutherford Model Stability Problem,Easy,55,"Rutherford's atomic model faced a fundamental difficulty: according to classical electromagnetic theory, a charged particle moving in a circular orbit should:",Remain stable indefinitely,Continuously radiate energy and spiral inward,Move with constant speed forever,Jump between discrete energy levels,B
Physics,Atoms,Bohr First Postulate Stationary Orbits,Easy,50,"Bohr's first postulate states that electrons can revolve around the nucleus in certain allowed orbits without radiating energy. These are called:",Excited orbits,Stationary orbits (stable orbits),Photon orbits,Neutron orbits,B
Physics,Atoms,Bohr Quantization Condition,Easy,50,"Bohr's second postulate (quantization condition) states that the angular momentum of an electron in an allowed orbit is:",Zero,"An integral multiple of h/(2*pi), where h is Planck's constant",Equal to e^2/(2*pi*epsilon0),A random value,B
Physics,Atoms,Bohr Third Postulate Photon Emission,Easy,50,"According to Bohr's third postulate, when an electron jumps from a higher energy level (En2) to a lower energy level (En1), it emits a photon of energy:",E = En2 + En1,E = En2 - En1 (this energy is carried away as a photon),E = En1 * En2,E = En2 / En1,B
Physics,Atoms,Hydrogen Energy Level Formula,Easy,50,"The energy of the nth level of the hydrogen atom is given by:",En = -13.6 * n^2 eV,En = -13.6 / n^2 eV,En = +13.6 / n^2 eV,En = 13.6 * n eV,B
Physics,Atoms,Hydrogen Ground State Energy,Easy,45,"The energy of the hydrogen atom in its ground state (n = 1) is:",+13.6 eV,0 eV,-13.6 eV,-27.2 eV,C
Physics,Atoms,Ionization Energy of Hydrogen,Easy,50,"The ionization energy of hydrogen (energy needed to remove the electron from the ground state to infinity) is:",3.4 eV,10.2 eV,13.6 eV,27.2 eV,C
Physics,Atoms,Emission vs Absorption Spectrum,Easy,50,"When electrons in atoms transition from lower to higher energy levels (by absorbing energy), they produce an:",Emission spectrum,Absorption spectrum,Continuous spectrum,White spectrum,B
Physics,Atoms,Emission Spectrum Definition,Easy,50,"When electrons in excited atoms fall from higher to lower energy levels, they produce an:",Absorption spectrum,Continuous spectrum,Emission spectrum (bright lines on a dark background),X-ray spectrum only,C
Physics,Atoms,Lyman Series Definition,Easy,50,"The Lyman series of spectral lines of hydrogen corresponds to transitions of electrons:",To the n = 2 level from higher levels,To the n = 1 level from higher levels,From n = 1 to higher levels,Between the n = 3 and n = 4 levels,B
Physics,Atoms,Balmer Series Definition,Easy,50,"The Balmer series of spectral lines of hydrogen corresponds to transitions of electrons:",To the n = 1 level from higher levels,To the n = 2 level from higher levels,To the n = 3 level from higher levels,From n = 2 to n = 1,B
Physics,Atoms,Lyman Series Spectral Region,Easy,45,"The spectral lines of the Lyman series of hydrogen lie in the:",Infrared region,Visible region,Ultraviolet region,Radio wave region,C
Physics,Atoms,Balmer Series Spectral Region,Easy,45,"The spectral lines of the Balmer series of hydrogen lie mostly in the:",Infrared region only,Visible region of the spectrum,Ultraviolet region only,X-ray region,B
Physics,Atoms,Paschen Series Spectral Region,Easy,45,"The spectral lines of the Paschen series of hydrogen (transitions to n = 3) lie in the:",Ultraviolet region,Visible region,Infrared region,Microwave region,C
