subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option,reason,q_no,page
Chemistry,General,General,Medium,60,"2,3-Dimethyl-2-butene can be prepared by heating which of the following compounds with a strong acid?",(CH3)2C = CH − CH2 − CH3,(CH3)2CH − CH2 − CH = CH2,,(CH3)3C − CH = CH2,D,figure/parse,1,1
Chemistry,Classification of Elements and Periodicity,Classification of Elements and Periodicity,Medium,60,"The formation of the oxide ion, O2−(g), from oxygen atom requires first an exothermic and then an endothermic step as shown in below: O(g) + e− ⟶ O−(g) ; ΔfH⊖ = −141 kJ mol−1 O−(g) + e− ⟶ O2− (g) ; ΔfH⊖ = +780 kJ mol−1 Thus process of formation of O2− in gas phase is unfavourable though O2− is isoelectronic with neon. It is due to the fact that,",Oxygen is more electronegative.,Addition of electron in oxygen results in larger size of the ion.,Electron repulsion outweighs the stability gained by achieving noble gas configuration.,O− ion has comparatively smaller size than oxygen atom.,C,figure/parse,3,1
Chemistry,Hydrocarbons,Hydrocarbons,Medium,60,"In the reaction with HCl, an alkene reacts in accordance with the Markovnikov’s rule, to give a product 1-chloro-1- methylcyclohexane. The possible reaction alkene is:",,,and,,C,figure/parse,14,5
Chemistry,Solutions,Solutions,Medium,60,Reaction of a carbonyl compound with one of the following reagents involves nucleophilic addition followed by elimination of water. The reagent is: (A) Hydrocyanic acid (B) Sodium hydrogen sulphite (C) A Grignard reagent (D) Hydrazine in presence of feebly acidic solution,,,,,D,figure/parse,32,11
Chemistry,General,General,Medium,60,Which one of the following esters gets hydrolyzed most easily under alkaline conditions?,,,,,C,figure/parse,33,11
Chemistry,General,General,Medium,60,Which of the following is not the product of dehydration of?,,,,,D,figure/parse,41,14
Chemistry,Solutions,Solutions,Medium,60,Method by which Aniline cannot be prepared is: (1) Reduction of nitrobenzene with H2 Pd ⁄ in ethanol. (2) Potassium salt of phthalimide treated with chlorobenzene followed by hydrolysis with aqueous NaOH solution. (3) Hydrolysis of phenylisocyanide with acidic,,,,,D,figure/parse,42,14
Biology,Cell: The Unit of Life,Cell: The Unit of Life,Medium,60,Which of the following structures is not found in prokaryotic cells?,Plasma membrane,Nuclear envelope,Ribosome,Mesosome,B,figure/parse,48,16
Biology,Body Fluids and Circulation,Body Fluids and Circulation,Medium,60,Match the following list of microbes and their importance: (a) Sacharomyces cerevisiae (i) Production of immunosuppressive agents (b) Monascus purpureus (ii) Ripening of Swiss cheese (c) Trichoderma polysporum (iii) Commercial production of ethanol (d) Propionibacterium shermanii (iv) Production of blood-cholesterol lowering agents (a) (b) (c) (d),(iii) (i) (iv) (ii),(iii) (iv) (i) (ii),(iv) (iii) (ii) (i),(iv) (ii) (i) (iii),,no answer key,76,23
Biology,Cell: The Unit of Life,Cell: The Unit of Life,Medium,60,Match the columns and identify the correct option: Column I Column II (a) Thylakoids (i) Disc-Shaped sacs in Golgi apparatus (b) Cristae (ii) Condensed structure of DNA (c) Cisternae (iii) Flat membranous sacs in stroma (d) Chromatin (iv) Infoldings in mitochondria (a) (b) (c) (d),(iii) (iv) (ii) (i),(iv) (iii) (i) (ii),(iii) (iv) (i) (ii),(iii) (i) (iv) (ii),,no answer key,115,30
Physics,Current Electricity,Current Electricity,Medium,60,"An electron moves on a straight line path XY as shown. The abcd is a coil adjacent to the path of electron. What will be the direction of current, if any, induced in the coil?",No current induced,abcd,adcb,The current will reverse its direction as the electron goes past the coil,D,figure/parse,138,36
Physics,Waves,Waves,Medium,60,"A source of sound S emitting waves of frequency 100 Hz and an observer O are located at some distance from each other. The source is moving with a speed of 19.4 ms−1 at an angle of 60o with the source observer line as shown in the figure. The observer is at rest. The apparent frequency observed by the observer (velocity of sound in air 330 ms−1), is:",97 Hz,100 Hz,103 Hz,106 Hz,C,figure/parse,144,39
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,Medium,60,"In the given figure, a diode D is connected to an external resistance R = 100 Ω and an e.m.f. of 3.5 V. If the barrier potential developed across the diode is 0.5 V, the current in the circuit will be:",35 mA,30 mA,40 mA,20 mA,B,figure/parse,150,42
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,Medium,60,A series R-C circuit is connected to an alternating voltage source. Consider two situations: i. When capacitor is air filled. ii. When capacitor is mica filled. Current through resistor is i and voltage across capacitor is V then:,Va = Vb,Va < Vb,Va > Vb,ia > ib,C,figure/parse,162,47
Physics,Laws of Motion,Laws of Motion,Medium,60,"On a frictionless surfaces, a block of mass M moving at speed v collides elastically with another block of same mass M which is initially at rest. After collision the first block moves at an angle θ to its initial direction and has a speed v",,,,,,no answer key,168,51
Physics,Current Electricity,Current Electricity,Medium,60,"A circuit contains an ammeter, a battery of 30 v and a resistance 40.8 ohm all connected in series. If the ammeter has coil of resistance 480 ohm and a shunt of 20 ohm, the reading in the ammeter will be:",1 A,0.5 A,0.25 A,2 A,B,figure/parse,175,53
Physics,Waves,Waves,Medium,60,A photoelectric surface is illuminated successively by monochromatic light of wavelength 𝜆 and 𝜆,,,,,,no answer key,179,55
