subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Physics,Dual Nature of Radiation and Matter,Photoelectric Effect Definition,Easy,50,"The photoelectric effect is the phenomenon in which:",Metal is heated by light and emits infrared radiation,Electrons are emitted from a metal surface when light of sufficient frequency is incident on it,Light is reflected by a metal surface,Electric current is produced by chemical reactions,B
Physics,Dual Nature of Radiation and Matter,Work Function Definition,Easy,50,"The work function of a metal is defined as:",The maximum kinetic energy of the emitted photoelectrons,The minimum energy required to free an electron from the surface of the metal,The electric potential of the metal,The wavelength of light that causes photoelectric emission,B
Physics,Dual Nature of Radiation and Matter,Threshold Frequency Definition,Easy,50,"The threshold frequency (nu_0) for photoelectric emission is:",The maximum frequency of light that can cause emission,"The minimum frequency of light below which no photoelectric emission occurs, regardless of intensity",The frequency at which photon energy equals the maximum kinetic energy,The frequency of the emitted electron's wave,B
Physics,Dual Nature of Radiation and Matter,Einstein Photoelectric Equation,Easy,50,"Einstein's photoelectric equation, relating the photon energy, work function (phi), and maximum kinetic energy (KE_max) of emitted photoelectrons, is:",hf = phi - KE_max,hf = phi + KE_max,hf = phi * KE_max,phi = hf * KE_max,B
Physics,Dual Nature of Radiation and Matter,Photon Energy Formula,Easy,45,"The energy of a photon of frequency f (or wavelength lambda) is given by:",E = h/f (where h is Planck's constant),E = hf (where h is Planck's constant),E = f/h,E = h * lambda,B
Physics,Dual Nature of Radiation and Matter,Planck Constant Value,Easy,45,Planck's constant h has an approximate value of:,6.626 * 10^-34 J-s,6.626 * 10^-31 J-s,6.626 * 10^-24 J-s,6.626 * 10^-19 J-s,A
Physics,Dual Nature of Radiation and Matter,Effect of Intensity on Photoelectric Effect,Easy,55,"In the photoelectric effect, increasing the intensity of incident light (keeping frequency constant above threshold):",Increases the maximum kinetic energy of the emitted electrons,Increases the number of photoelectrons emitted per second (increases the photoelectric current),Decreases the threshold frequency,Has no effect on the photoelectric effect at all,B
Physics,Dual Nature of Radiation and Matter,Effect of Frequency on Photoelectric Effect,Easy,50,"In the photoelectric effect, increasing the frequency of the incident light (above threshold):",Increases the number of photoelectrons emitted,Decreases the kinetic energy of the emitted electrons,Increases the maximum kinetic energy of the emitted electrons,Decreases the threshold frequency,C
Physics,Dual Nature of Radiation and Matter,Stopping Potential Definition,Easy,50,"The stopping potential (Vs) in the photoelectric effect is defined as the minimum negative voltage applied to the collector that:",Causes the maximum number of electrons to be emitted,Just stops the most energetic photoelectrons from reaching the collector,Increases the intensity of photoelectric current,Reduces the work function of the metal,B
Physics,Dual Nature of Radiation and Matter,Stopping Potential and KE_max Relation,Easy,50,"The maximum kinetic energy of the emitted photoelectrons is related to the stopping potential Vs by:",KE_max = Vs / e,KE_max = e * Vs,KE_max = e^2 * Vs,KE_max = sqrt(e * Vs),B
Physics,Dual Nature of Radiation and Matter,de Broglie Hypothesis,Easy,50,"de Broglie's hypothesis states that:",Only electromagnetic waves have particle properties,Moving material particles have an associated wavelength (matter waves),Only large objects like planets have wave properties,Light has no particle properties at all,B
Physics,Dual Nature of Radiation and Matter,de Broglie Wavelength Formula,Easy,45,"The de Broglie wavelength of a particle with momentum p is given by:",lambda = h * p,lambda = h / p,lambda = p / h,lambda = h^2 / p,B
Physics,Dual Nature of Radiation and Matter,Wave Particle Duality,Easy,50,"Wave-particle duality refers to the property of matter and radiation where:",Waves and particles are completely different and unrelated phenomena,Both exhibit characteristics of waves in some situations and of particles in others,Only light has both wave and particle properties,Only matter has both wave and particle properties,B
Physics,Dual Nature of Radiation and Matter,Davisson Germer Experiment,Easy,50,"The Davisson-Germer experiment confirmed de Broglie's hypothesis by demonstrating that:",Light can behave as particles (photons),"Electrons can undergo diffraction, exhibiting wave-like properties",Protons are larger than electrons,Waves require a medium for propagation,B
Physics,Dual Nature of Radiation and Matter,Compton Effect Particle Nature,Easy,55,"The Compton effect (scattering of X-rays by electrons resulting in increased X-ray wavelength) provides evidence for the:",Wave nature of light,Particle (photon) nature of light and its possession of momentum,Wave nature of electrons,Longitudinal nature of X-rays,B
Physics,Dual Nature of Radiation and Matter,Photoelectric Effect Instantaneous Emission,Easy,50,"In the photoelectric effect, the emission of photoelectrons is:","Delayed by several seconds after the light is turned on","Essentially instantaneous (no detectable delay) once the threshold frequency is exceeded",Always delayed by exactly one minute,Dependent only on the intensity of light,B
Physics,Dual Nature of Radiation and Matter,Photon Momentum Formula,Easy,50,"A photon of energy E and wavelength lambda has momentum given by:",p = E * c,"p = E / c (which equals h/lambda)",p = h * lambda,p = h * c,B
Physics,Dual Nature of Radiation and Matter,Classical Wave Theory Failure,Easy,55,"The classical wave theory of light FAILED to explain the photoelectric effect because it predicted that:",Emission of electrons would be instantaneous regardless of frequency,"The kinetic energy of emitted electrons should depend on intensity, and emission should occur for any frequency given enough time — both contradicted by experiment",Only X-rays can cause photoelectric emission,The photoelectric effect cannot occur in metals,B
Physics,Dual Nature of Radiation and Matter,Einstein and Photons,Easy,50,"Einstein explained the photoelectric effect by proposing that light consists of discrete packets of energy called:",Atoms,Photons (quanta of light energy),Electrons,Neutrons,B
Physics,Dual Nature of Radiation and Matter,Threshold Wavelength Definition,Easy,50,"The threshold wavelength (lambda_0) for photoelectric emission is:",The maximum wavelength of light that can cause emission (minimum photon energy = work function),The minimum wavelength of any photon,The wavelength of the most energetic photoelectron,Always equal to the de Broglie wavelength of the metal,A
Physics,Dual Nature of Radiation and Matter,de Broglie Wavelength and Kinetic Energy,Easy,50,"If a particle of mass m has kinetic energy KE, its de Broglie wavelength is:",lambda = h * sqrt(2mKE),lambda = h / sqrt(2mKE),lambda = sqrt(2mKE) / h,lambda = h^2 / (2mKE),B
