subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option
Chemistry,Structure of Atom,Structure of Atom,Medium,60,Gadolinium belongs of 4f series. Its atomic number is 64. Which of the following is the correct electronic configuration of gadolinium?,[Xe]4f 75d16s2,[Xe]4f 65d26s2,[Xe]4f 86d2,[Xe]4f 95s1,A
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,Medium,60,The number of structural isomers possible from the molecular formula C3H9N is:,2,3,4,5 Chemistry,C
Chemistry,Equilibrium,Equilibrium,Medium,60,"If the equilibrium constant for N2(g) + O2(g) ⇌ 2NO(g) is K, the equilibrium constant for 1 2 N2(g) + 1 2 O2(g) ⇌ NO(g) will be:",K,K2,K1 2,1 2 K,C
Chemistry,Equilibrium,Equilibrium,Medium,60,Which one of the following pairs of solution is not an acidic buffer?,H2CO3 and Na2CO3,H3PO4 and Na3PO4,HClO4 and NaClO4,CH3COOH and CH3COONa,C
Chemistry,Solutions,Solutions,Medium,60,Aqueous solution of which of the following compounds is the best conductor of electric current?,"Ammonia, NH3","Fructose, C6H12O6","Acetic acid, C2H4O2","Hydrochloric acid, HCl",D
Chemistry,Polymers,Polymers,Medium,60,Caprolactum is used for the manufacture of:,Terylene,"Nylon-6,6",Nylon-6,Teflon,C
Chemistry,General,General,Medium,60,On heating which of the following releases CO2 most easily?,MgCO3,CaCO3,K2CO3,Na2CO3,A
Chemistry,Classification of Elements and Periodicity,Classification of Elements and Periodicity,Medium,60,Strong reducing behaviour of H3PO2 is due to:,High oxidation state of phosphorus,Presence of two –OH groups and one p – H bond,Presence of one –OH group and two p – H bonds,High electron gain enthalpy of phosphorus,C
Chemistry,General,General,Medium,60,"Decreasing order of stability of O2, O2 −, O2 + and O2 2− is:",O2 > O2 + > O2 2− > O2 −,O2 − > O2 2− > O2 + > O2,O2 + > O2 > O2 − > O2 2−,O2 2− > O2 − > O2 > O2 +,C
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,Medium,60,The number of water molecules is maximum in:,18 gram of water,18 moles of water,18 molecules of water,1.8 gram of water,B
Chemistry,Chemical Bonding and Molecular Structure,Chemical Bonding and Molecular Structure,Medium,60,"In which of the following pairs, both the species are not isostructural?","NH3, PH3","XeF4, XeO4","SiCl4, PCl4 +","Diamond, silicon carbide",B
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,Medium,60,"Assuming complete ionization, same moles of which of the following compounds will require the least amount of acidified KMnO4 for complete oxidation?",FeC2O4,Fe(NO2)2,FeSO4,FeSO3,C
Chemistry,Alcohols Phenols and Ethers,Alcohols Phenols and Ethers,Medium,60,Reaction of phenol with chloroform in presence of dilute sodium hydroxide finally introduces which one of the following functional group?,−CHCl2,– CHO,– CH2Cl,– COOH,B
Chemistry,The Solid State,The Solid State,Medium,60,The vacant space in bcc lattice unit cell is:,23%,32%,26%,48%,B
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,Medium,60,Which of the statements given below is incorrect?,ONF is isoelectronic with O2N−,OF2 is an oxide of fluorine,Cl2O7 is an anhydride of perchloric acid,O3 molecule is bent,B
Chemistry,Coordination Compounds,Coordination Compounds,Medium,60,"The name of complex ion, [Fe(CN)6]3− is :",Tricyanoferrate (III) ion,Hexacyanidoferrate (III) ion,Hexacyanoiron (III) ion,Hexacyanitoferrate (III) ion,B
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,Medium,60,"If Avogadro number NA, is changed from 6.022 × 1023 mol−1 to 6.022 × 1020 mol−1, this would change:",The ratio of chemical species to each other in a balanced equation.,The ratio of elements to each other in a compound.,The definition of mass in units of grams,The mass of one mole of carbon,D
